Sl. No. (Col.1),Crime Head (Col.2),Cases Withdrawn by Govt. (Col.3),Percentage of Cases to total Cases for Trial Compounded or Withdrawn (Col.4),Percentage of Cases to total Cases For Trial in Which Trials Were Completed (Convicted) (Col.5),Percentage of Cases to total Cases for Trial in Which Trials Were Completed (Acquitted Or Discharged) (Col.6),Percentage of Cases to total Cases for Trial in Which Trials Were Completed (Total) (Col.7) = {(Col.5) + (Col.6)},Percentage of Cases to total Cases for Trial Pending trial at the end of the year (Col.8),Conviction Rate (Col.9) = {(Col.5)/(Col.7) × 100}
1,Murder(sec.302 IPC),0,0,4.8,7.7,12.5,87.4,38.5
2,Attempt to Commit Murder(sec. 307 IPC),0,0.2,4.2,9.8,14,85.8,30
3,"C.h. not Amounting Murder(sec.304 , 308 IPC)",0,0.1,5.9,9.2,15.2,84.7,39.1
4,Rape (sec. 376 IPC),0,0.2,4.3,11.9,16.2,83.6,26.4
5,Rape (sec. 376 IPC) - Custodial Rape,0,0,0,11.1,0,88.9,0
6,Rape (sec. 376 IPC) - Other Rape,0,0.2,4.3,11.9,16.2,83.6,26.4
7,"Kidnapping & Abduction (sec.363-369,371-373 IPC)",0,0.3,3.6,9.7,13.3,86.4,27.3
8,"Kidnapping & Abduction(sec.363-369,371-373 IPC) - of Women & Girls",0,0.4,3.8,9.8,13.7,86,28.1
9,"Kidnapping & Abduction(sec.363-369,371-373 IPC) - of Others",0,0.2,3,9.4,12.4,87.4,24.3
10,Dacoity(sec.395-398 IPC),0,0,2.4,7.2,9.6,90.4,25
11,Preparation & Assembly Fordacoity (sec.399 to 402 IPC),0,0,2.4,9.4,11.8,88.2,20.4
12,"Robbery(sec.392-394, 397,398 IPC)",0,0.1,3.2,7.6,10.8,89.1,29.5
13,"Burglary(sec.449-452,454,455,457-460 IPC)",0,0.5,4.2,8.6,12.9,86.6,33
14,Theft (sec.379 – 382 IPC),0,0.9,4.2,7.8,12,87.1,35
15,Theft (sec.379 – 382 IPC) - Auto Theft,0,0.7,5,7.5,12.5,86.8,40.2
16,Theft (sec.379 – 382 IPC) - Other Theft,0,1,4,7.9,11.9,87.1,33.3
17,"Riots(sec.143-145, 147-151, 153,153a,153b,157,158,160 IPC)",0.1,2,2.1,7.5,9.5,88.4,21.5
18,Criminal Breach of Trust(sec.406-409 IPC),0,0.5,2.7,5.9,8.5,91,31.2
19,"Cheating(sec.419,420 IPC)",0,0.9,2.6,6.8,9.4,89.7,27.5
20,"Counterfeiting(sec.231-254, 489a-489d IPC)",0,0.4,4.4,7.9,12.3,87.3,36.1
21,"Arson(sec.435,436,438 IPC)",0,0.7,2.4,10.8,13.2,86.1,18.2
22,"Hurt(sec.323-333,335-338 IPC)",0.1,3.6,4.3,9,13.3,83,32.2
23,Dowry Deaths(sec.304b IPC),0,0.2,6,10.9,16.9,82.9,35.8
24,Molestation(sec. 354 IPC),0,2.8,3.6,9.4,13,84.1,27.7
25,Sexual Harassment(sec.509 IPC),0,4.1,10.6,12.6,23.2,72.6,45.8
26,Cruelty by Husband and Relatives(sec. 498a IPC),0,1.9,2.1,8.3,10.4,87.7,20.2
27,Importation of Girls(sec.366b IPC),0,0,1.4,16.5,17.9,82.1,7.8
28,Causing Death by Negligence(sec. 304a IPC),0,0.7,4.4,9.8,14.2,85,30.9
29,Other IPC Crimes,0.1,2,7.9,7.2,15.1,82.9,52.4
30,Total Cognizable Crimes Under IPC,0.1,1.8,5.6,8,13.5,84.6,41.1
