Sl. No. (Col. 1),Crime Head (Col. 2),Total No. of Persons Under Trial Including those from Previous Year (Col. 3),No of Persons Whose - Cases Compounded or Withdrawn (Col. 4),No of Persons Whose - Trial Completed (Col. 5),No of Persons Whose - Trial Remained Pending (Col. 6),No of Persons Convicted (Col. 7),Percentage of Persons - Whose Trials Remained Pending (Col. 8) = Col. (6*100/3),Percentage of Persons - Convicted to Trials Completed (Col. 9) = Col. (7*100/5)
1,Murder (Sec.302 IPC),431536,640,54410,376486,20008,87.2,36.8
2,Attempt to Commit Murder (Sec. 307 IPC),433756,755,54395,378606,15472,87.3,28.4
3,"C.H. not Amounting Murder (Sec. 304, 308 IPC)",37150,27,5770,31353,2417,84.4,41.9
4,Rape(Sec. 376 IPC) - Total,126753,267,21489,104997,5724,82.8,26.6
4,Rape(Sec. 376 IPC)- Custodial Rape,12,0,1,11,0,91.7,0
4,Rape(Sec. 376 IPC) - Other Rape,126741,267,21488,104986,5724,82.8,26.6
5,"Kidnapping & Abduction (Sec. 363-369,371-373 IPC) - Total",205030,511,30344,174175,8265,85,27.2
5,"Kidnapping & Abduction (Sec. 363-369,371-373 IPC) - of Women & Girls",139474,432,22181,116861,6254,83.8,28.2
5,"Kidnapping & Abduction (Sec. 363-369,371-373 IPC) - of Others",65556,79,8163,57314,2011,87.4,24.6
6,Dacoity (Sec. 395-398 IPC),164288,51,14441,149796,3128,91.2,21.7
7,Preparation & Assembly for Dacoity (Sec. 399-402 IPC),67953,61,7617,60275,1461,88.7,19.2
8,"Robbery (Sec. 392-394,397,398 IPC)",225731,214,25117,200400,7331,88.8,29.2
9,"Burglary (Sec. 449-452,454,455,457-460 IPC)",473034,2408,53856,416770,16246,88.1,30.2
10,Theft (Sec. 379-382 IPC) - Total,1268850,10037,140935,1117878,47312,88.1,33.6
10,Theft (Sec. 379-382 IPC) - Auto Theft,262383,1430,33376,227577,13293,86.7,39.8
10,Theft (Sec. 379-382 IPC) - Other Theft,1006467,8607,107559,890301,34019,88.5,31.6
11,"Riots (Sec. 143-145,147 -151,153,153a,153b,157,158,160 IPC)",2751591,43843,255853,2451895,49577,89.1,19.4
12,Criminal Breach of Trust (Sec. 406-409 IPC),142370,681,13053,128636,3800,90.4,29.1
13,"Cheating (Sec. 419,420 IPC)",405907,4328,43826,357753,12764,88.1,29.1
14,"Counterfeiting (Sec. 231-254,489a-489d IPC)",14282,7,1736,12539,621,87.8,35.8
15,"Arson (Sec. 435,436,438 IPC)",71496,399,9268,61829,1659,86.5,17.9
16,"Hurt (Sec. 323-333,335-338 IPC)",2475610,93448,343608,2038554,98816,82.3,28.8
17,Dowry Deaths (Sec. 304b IPC),94746,234,17483,77029,6306,81.3,36.1
18,Molestation (Sec. 354 IPC),250196,6708,34775,208713,8806,83.4,25.3
19,Sexual Harassment (Sec. 509 IPC),46271,1861,10800,33610,4668,72.6,43.2
20,Cruelty by Husband and relatives (Sec. 498a IPC),846230,17135,105242,723853,21662,85.5,20.6
21,Importation of Girls(Sec. 366b IPC),766,0,100,666,4,86.9,4
22,Death Due to Negligence (304a IPC),403694,2895,59267,341532,17972,84.6,30.3
23,Other IPC Crimes,5425760,131504,883853,4410403,410944,81.3,46.5
24,Total Cognizable Crimes Under IPC,16363000,318014,2187238,13857748,764963,84.7,35
