Sl. No. (Col. 1),Crime Head (Col. 2),Cases Withdrawn by Govt. (Col. 3),No. of Cases In Which - Compounded or Withdrawn (Col. 4),No. of Cases - In Which Trials Completed - Convicted (Col. 5),No. of Cases - In Which Trials Completed - Acquitted or Discharged (Col. 6),No. of Cases - In Which Trials Completed - Total (Col. 7) = Col. 5+6,Pending Trial at the end of the year (Col. 8),Conviction Rate (Col. 9) = (5/7*100)
1,"Murder (Sec. 302,303 IPC)",0,0,5.4,10.6,16,84,33.9
2,Rape (Sec.376 IPC),0,0,4.4,14.8,19.2,80.8,22.9
3,"Kidnapping & Abduction (Sec. 363-369, 371-373 IPC)",0,0.5,2,16.2,18.2,81.3,10.8
4,Dacoity (Sec.395-398 IPC),0,0,0,17.2,17.2,82.8,0
5,"Robbery (392-394, 397,398 IPC)",0,0,3.2,4.8,7.9,92.1,40
6,"Arson (Sec.435, 436, 438 IPC)",0,0,1.2,8.6,9.9,90.1,12.5
7,"Hurt (Sec.323-333, 335-338 IPC)",0,1,3.3,13.6,16.9,82.1,19.4
8,"PCR Act, 1955 for STs",0,0,0,45.2,45.2,54.8,0
9,"SC/ST Prev. of Atrocities Act, 1989 for Sts",0,0.8,2.9,18,20.9,78.3,13.9
10,Other Crimes Against Sts,0,1,4,15.3,19.4,79.6,20.8
11,Total,0,0.8,3.7,15.5,19.1,80.1,19.2
