Sl. No.,Category,State/UT,Incidence,Percentage Contribution to All–india Total,* Population (in Lakhs),Rate of Total Cognizable Crimes,Rank as per Rate of Total Cognizable Crimes,Rank as per Percentage Share
1,State,Andhra Pradesh,805,14,846.65,1,8,3
2,State,Arunachal Pradesh,34,0.6,13.83,2.5,1,14
3,State,Assam,2,0,311.69,0,23,21
4,State,Bihar,97,1.7,1038.04,0.1,16,11
5,State,Chhattisgarh,336,5.8,255.4,1.3,6,5
6,State,Goa,1,0,14.58,0.1,17,23
7,State,Gujarat,153,2.7,603.83,0.3,15,10
8,State,Haryana,0,0,253.53,0,NA,NA
9,State,Himachal Pradesh,4,0.1,68.57,0.1,18,19
10,State,Jammu & Kashmir,0,0,125.49,0,NA,NA
11,State,Jharkhand,309,5.4,329.66,0.9,9,7
12,State,Karnataka,285,5,611.31,0.5,13,8
13,State,Kerala,231,4,333.88,0.7,11,9
14,State,Madhya Pradesh,1284,22.3,725.98,1.8,4,1
15,State,Maharashtra,321,5.6,1123.73,0.3,14,6
16,State,Manipur,1,0,27.22,0,20,22
17,State,Meghalaya,0,0,29.64,0,NA,NA
18,State,Mizoram,0,0,10.91,0,NA,NA
19,State,Nagaland,0,0,19.81,0,NA,NA
20,State,Odisha,484,8.4,419.47,1.2,7,4
21,State,Punjab,0,0,277.04,0,NA,NA
22,State,Rajasthan,1263,21.9,686.21,1.8,3,2
23,State,Sikkim,8,0.1,6.08,1.3,5,17
24,State,Tamil Nadu,23,0.4,721.39,0,21,16
25,State,Tripura,30,0.5,36.71,0.8,10,15
26,State,Uttar Pradesh,35,0.6,1995.81,0,22,13
27,State,Uttarakhand,0,0,101.17,0,NA,NA
28,State,West Bengal,41,0.7,913.48,0,19,12
State,State,Total (States),5747,99.8,11901.11,0.5,NA,NA
29,Union Territory,A & N Islands,7,0.1,3.8,1.8,2,18
30,Union Territory,Chandigarh,0,0,10.55,0,NA,NA
31,Union Territory,D & N Haveli,2,0,3.43,0.6,12,20
32,Union Territory,Daman & Diu,0,0,2.43,0,NA,NA
33,Union Territory,Delhi,0,0,167.53,0,NA,NA
34,Union Territory,Lakshadweep,0,0,0.64,0,NA,NA
35,Union Territory,Puducherry,0,0,12.44,0,NA,NA
Union Territory,Union Territory,Total (UTs),9,0.2,200.82,0,NA,NA
Total (AllIndia),Total (AllIndia),Total (AllIndia),5756,100,12101.93,0.5,NA,NA
