Sl. No.,Crime Head,Number of Cases Reported During - 2010,Number of Cases Reported During - 2011,Percentage Change in 2011 Over 2010
1,Arms Act,154,159,3.2
2,Narcotic Drugs & Psychotropic Substances Act,82,78,-4.9
3,Gambling Act,326,424,30.1
4,Excise Act,249,198,-20.5
5,Prohibition Act,314,313,-0.3
6,Explosive & Explosive Substances Act,13,11,-15.4
7,Immoral Traffic (P) Act,10,15,50
8,Indian Railways Act,2,2,0
9,The foreigners Act,38,46,21.1
10,Protection of Civil Rights Act,0,0,NA
11,Protection of Civil Rights Act - Pcr Act for Scs,0,0,NA
12,Protection of Civil Rights Act - Pcr Act for Sts,0,0,NA
13,Indian Passport Act,18,6,-66.7
14,Essential Commodities Act,14,19,35.7
15,Terrorist & Disruptive Activities Act,0,0,NA
16,Antiquity & Art Treasure Act,0,1,NA
17,Dowry Prohibition Act,3,4,33.3
18,Prohibition of Child Marriage Act,1,3,200
19,Indecent Representation of Women (P) Act,0,0,NA
20,Copyrights Act,21,21,0
21,Sati Prevention Act,0,0,NA
22,SC/ST (prevention of Atrocities) Act,28,34,21.4
23,SC/ST (prevention of Atrocities) Act - Prevention of Attrocities Act for SCs,25,32,28
24,SC/ST (prevention of Atrocities) Act - Prevention of Attrocities Act for STs,3,2,-33.3
25,Forest Act,9,3,-66.7
26,Other SLL Crimes,1276,1500,17.6
27,Total Cognizable Crimes Under SLL,2558,2837,10.9
