Sr. No.,Crime Head,Number of Cases Reported During - 2009,Number of Cases Reported During - 2010,Percentage Change in 2010 Over 2009
1,Arms Act,223,154,-30.9
2,Narcotic Drugs & Psychotropic Substances Act,61,82,34.4
3,Gambling Act,1149,326,-71.6
4,Excise Act,465,249,-46.5
5,Prohibition Act,592,314,-47
6,Explosive & Explosive Substances Act,16,13,-18.8
7,Immoral Traffic (p) Act,18,10,-44.4
8,Indian Railways Act,2,2,0
9,The Foreigners Act,14,38,171.4
10,Protection of Civil Rights Act - Total,0,0,NA
10,Protection of Civil Rights Act - (i) Pcr Act for Scs,0,0,NA
10,Protection of Civil Rights Act - (ii) Pcr Act for Sts,0,0,NA
11,Indian Passport Act,7,18,157.1
12,Essential Commodities Act,6,14,133.3
13,Terrorist & Disruptive Activities Act,0,0,NA
14,Antiquity & Art Treasure Act,0,0,NA
15,Dowry Prohibition Act,44,3,-93.2
16,Prohibition of Child Marriage Act,0,1,NA
17,Indecent Representation of Women (p) Act,3,0,NA
18,Copyrights Act,19,21,10.5
19,Sati Prevention Act,0,0,NA
20,Sc/st (prevention of Atrocities) Act - Total,21,28,33.3
20,Sc/st (prevention of Atrocities) Act - (i) Prevention of Attrocities Act For Scs,20,25,25
20,Sc/st (prevention of Atrocities) Act - (ii) Prevention of Attrocities Act For Sts,1,3,200
21,Forest Act,9,9,0
22,Other Sll Crimes,1672,1276,-23.7
23,Total Cognizable Crimes Under Sll,4321,2558,-40.8
