Sl. No.,Year,Estimated Mid-Year Population (In Lakhs)*,Incidence - IPC,Incidence - SLL,Incidence - Total,Rate - IPC,Rate - SLL,Rate - Total,Percentage of IPC Crimes to Total Cognizable Crimes,Note of Year,Note of Incidence - SLL
1,2000,10021,1771084,3396666,5167750,176.7,338.9,515.7,34.3,NA,NA
2,2001,10270,1769308,3575230,5344538,172.3,348.1,520.4,33.1,**,#
3,2002,10506,1780330,3746198,5526528,169.5,356.6,526,32.2,NA,NA
4,2003,10682,1716120,3778694,5494814,160.7,353.7,514.4,31.2,NA,NA
5,2004,10856,1832015,4196766,6028781,168.8,386.6,555.3,30.4,NA,NA
6,2005,11028,1822602,3203735,5026337,165.3,290.5,455.8,36.3,NA,NA
7,2006,11198,1878293,3224167,5102460,167.7,287.9,455.7,36.8,NA,NA
8,2007,11366,1989673,3743734,5733407,175.1,329.4,504.5,34.7,NA,NA
9,2008,11531,2093379,3844725,5938104,181.5,333.4,515,35.3,NA,@
10,2009,11694,2121345,4553872,6675217,181.4,389.4,570.8,31.8,NA,++
11,2010,11858,2224831,4525917,6750748,187.6,381.7,569.3,33,NA,NA
12,Percentage Change In 2010 Over 2000,18.3,25.6,33.2,30.6,6.2,12.6,10.4,-3.8,NA,NA
13,Compound Growth Rate,1.6,2.5,2,2.2,0.8,0.4,0.5,0.3,NA,NA
