Category,Crime Head,Below - 18 years,Between - 18 – 30 - years,Between - 30 – 45 - years,Between - 45 – 60 - years,Above - 60 years,Total (All Age Groups)
A. Offences under IT Act,1. Tampering computer source documents,2,43,33,0,1,79
A. Offences under IT Act,2. Hacking with Computer Systems - (i) Loss/damage to computer resource/utility,4,116,92,21,0,233
A. Offences under IT Act,2. Hacking with Computer Systems - (ii) Hacking,0,34,25,1,1,61
A. Offences under IT Act,3. Obscene publication/transmission in electronic form,10,214,121,13,3,361
A. Offences under IT Act,4. Failure - (i) of compliance/orders of certifying Authority,0,3,2,0,0,5
A. Offences under IT Act,4. Failure - (ii) to assist in decrypting the information intercepted by Govt. Agency,0,0,0,0,0,0
A. Offences under IT Act,5. Un-authorised access/attempt to access of protected Computer system,0,0,3,3,0,6
A. Offences under IT Act,6. Obtaining License or Digital Signature Certificate by misrepresentation/suppression of fact,0,1,3,0,0,4
A. Offences under IT Act,7. Publishing False digital Signature Certificate,0,1,1,0,0,2
A. Offences under IT Act,8. Fraud Digital Signature Certificate,0,3,1,0,0,4
A. Offences under IT Act,9. Breach of confidentiality/privacy,0,8,12,5,2,27
A. Offences under IT Act,10. Other,0,10,5,2,0,17
A. Offences under IT Act,Total (A),16,433,298,45,7,799
B. Offences under IPC,1. Offences by/Against Public Servant,0,1,1,1,0,3
B. Offences under IPC,2. False electronic evidence,0,1,3,0,0,4
B. Offences under IPC,3. Destruction of electronic evidence,0,0,0,0,0,0
B. Offences under IPC,4. Forgery,0,74,131,52,0,257
B. Offences under IPC,5. Criminal Breach of Trust/Fraud,1,39,44,15,1,100
B. Offences under IPC,6. Counterfeiting - (i) Property/mark,0,2,0,0,0,2
B. Offences under IPC,6. Counterfeiting - (ii) Tampering,0,6,5,1,0,12
B. Offences under IPC,6. Counterfeiting - (iii)Currency/Stamps,0,7,9,0,0,16
B. Offences under IPC,Total( B),1,130,193,69,1,394
Grant Total (A+B),Grant Total (A+B),17,563,491,114,8,1193
