Sr. No.,Category,States/ UTs,Total No. of Persons Under Trial Including those from Previous Year,Number of Persons Whose - Cases Compounded or Withdrawn,Number of Persons Whose - Trial Completed,Number of Persons Whose - Trial Remained Pending,No. of Persons Convicted,Pendency Percentage,Percentage of Pendency to All India Total
1,State,Andhra Pradesh #,605986,657,559727,45602,545563,7.5,0.7
2,State,Arunachal Pradesh,865,2,16,847,14,97.9,0
3,State,Assam,14637,0,1116,13521,239,92.4,0.2
4,State,Bihar,91912,619,10390,80903,3159,88,1.3
5,State,Chhattisgarh,285762,155,239938,45669,233327,16,0.7
6,State,Goa,9350,3,3120,6227,2344,66.6,0.1
7,State,Gujarat,1931292,586,198170,1732536,130413,89.7,27.9
8,State,Haryana,131213,0,28213,103000,19107,78.5,1.7
9,State,Himachal Pradesh,31570,121,4372,27077,1593,85.8,0.4
10,State,Jammu & Kashmir,26439,4,2330,24105,1037,91.2,0.4
11,State,Jharkhand,17905,18,4588,13299,1345,74.3,0.2
12,State,Karnataka,120370,1686,41186,77498,23617,64.4,1.2
13,State,Kerala,511543,1945,186668,322930,172021,63.1,5.2
14,State,Madhya Pradesh,311405,163,190206,121036,172302,38.9,1.9
15,State,Maharashtra,1774341,8347,146297,1619697,26285,91.3,26.1
16,State,Manipur,1670,0,34,1636,30,98,0
17,State,Meghalaya,1315,0,116,1199,71,91.2,0
18,State,Mizoram,1681,0,1297,384,1270,22.8,0
19,State,Nagaland,964,15,475,474,317,49.2,0
20,State,Odisha,111353,0,11083,100270,2170,90,1.6
21,State,Punjab ##,87011,156,21275,65580,16334,75.4,1.1
22,State,Rajasthan,205283,282,44636,160365,41443,78.1,2.6
23,State,Sikkim,263,26,126,111,106,42.2,0
24,State,Tamil Nadu,437613,2175,336578,98860,272814,22.6,1.6
25,State,Tripura,517,1,201,315,39,60.9,0
26,State,Uttar Pradesh,3805852,144,2525016,1280692,2425401,33.7,20.6
27,State,Uttarakhand,212142,0,168762,43380,168327,20.4,0.7
28,State,West Bengal,73012,403,4082,68527,1148,93.9,1.1
State,State,Total (States),10803266,17508,4730018,6055740,4261836,56.1,97.4
29,Union Territory,A & N Islands,31360,0,5645,25715,5642,82,0.4
30,Union Territory,Chandigarh,2109,0,821,1288,639,61.1,0
31,Union Territory,D & N Haveli,311,0,18,293,18,94.2,0
32,Union Territory,Daman & Diu,240,0,19,221,2,92.1,0
33,Union Territory,Delhi,144112,0,11048,133064,7448,92.3,2.1
34,Union Territory,Lakshadweep,72,0,0,72,0,100,0
35,Union Territory,Puducherry,2511,2,1352,1157,1140,46.1,0
Union Territory,Union Territory,Total (UTs),180715,2,18903,161810,14889,89.5,2.6
Total (All-India),Total (All-India),Total (All-India),10983981,17510,4748921,6217550,4276725,56.6,100
