Sl. No.,Crime Head,Incidence - 2000,Rate - 2000,Incidence - 2005,Rate - 2005,Incidence - 2006,Rate - 2006,Incidence - 2007,Rate - 2007,Incidence - 2008,Rate - 2008,Incidence - 2009,Rate - 2009,Incidence - Quinquennial Avg.2005-2009 (Q.A),Rate - Quinquennial Avg.2005-2009 (Q.A),Incidence - 2010,Rate - 2010,Percentage Change In 2010[(+) Increase/(-) Decrease] Over -2000,Percentage Change In 2010[(+) Increase/(-) Decrease] Over -Q.A,Percentage Change In 2010[(+) Increase/(-) Decrease] Over -20009,Note of Crime Head
1,Murder (Sec.302 IPC),37399,3.7,32719,3,32481,2.9,32318,2.8,32766,2.8,32369,2.8,32531,2.9,33335,2.8,-10.9,2.5,3,NA
2,Attempt to Commit Murder (Sec. 307 IPC),30743,3.1,28031,2.5,27230,2.4,27401,2.4,28598,2.5,29038,2.5,28060,2.5,29421,2.5,-4.3,4.9,1.3,NA
3,"C.h. Not Amounting Murder (Sec.304 , 308 IPC)",3773,0.4,3578,0.3,3535,0.3,3644,0.3,3863,0.3,3930,0.3,3710,0.3,3782,0.3,0.2,1.9,-3.8,NA
4,Rape (Sec. 376 IPC),16496,1.6,18359,1.7,19348,1.7,20737,1.8,21467,1.9,21397,1.8,20262,1.8,22172,1.9,34.4,9.4,3.6,NA
4,Rape (Sec. 376 IPC) - (i) Custodial Rape,NA,NA,7,0,2,0,1,0,0,0,2,0,2,0,6,0,NA,150,200,*
4,Rape (Sec. 376 IPC) - (ii) Other Rape,NA,NA,18352,1.7,19346,1.7,20736,1.8,21467,1.9,21395,1.8,20259,1.8,22166,1.9,NA,9.4,3.6,*
5,"Kidnapping & Abduction (Sec.363-369,371-373 IPC)",22871,2.3,22832,2.1,23991,2.1,27561,2.4,30261,2.6,33860,2.9,27701,2.4,38440,3.2,68.1,38.8,13.5,NA
5,"Kidnapping & Abduction (Sec.363-369,371-373 IPC) - (i) of Women & Girls",15023,1.5,15750,1.4,17414,1.6,20416,1.8,22939,2,25741,2.2,20452,1.8,29795,2.5,98.3,45.7,15.7,NA
5,"Kidnapping & Abduction (Sec.363-369,371-373 IPC) - (ii) of Others",7848,0.8,7082,0.6,6577,0.6,7145,0.6,7322,0.6,8119,0.7,7249,0.6,8645,0.7,10.2,19.3,6.5,NA
6,Dacoity (Sec.395-398 IPC),6825,0.7,5141,0.5,4747,0.4,4579,0.4,4530,0.4,4586,0.4,4717,0.4,4358,0.4,-36.1,-7.6,-5,NA
7,Preparation & Assembly for Dacoity (Sec.399 To 402 IPC),1505,0.2,2834,0.3,3129,0.3,3205,0.3,3217,0.3,2850,0.2,3047,0.3,2615,0.2,73.8,-14.2,-8.2,NA
8,"Robbery (Sec.392-394, 397,398 IPC)",20926,2.1,17673,1.6,18456,1.6,19136,1.7,20522,1.8,22409,1.9,19639,1.7,23393,2,11.8,19.1,4.4,NA
9,"Burglary (Sec.449-452,454,455,457-460 IPC)",105391,10.5,90108,8.2,91666,8.2,91218,8,93742,8.1,92070,7.9,91761,8.1,90179,7.6,-14.4,-1.7,-2.1,NA
10,Theft (Sec.379 – 382 IPC),258588,25.8,273111,24.8,274354,24.5,285043,25.1,316761,27.5,324195,27.7,294693,25.9,330312,27.9,27.7,12.1,1.9,NA
10,Theft (Sec.379 – 382 IPC) - (i) Auto Theft,58415,5.8,85709,7.8,90951,8.1,100255,8.8,120032,10.4,140027,12,107395,9.4,147475,12.4,152.5,37.3,5.3,NA
10,Theft (Sec.379 – 382 IPC) - (ii) Other Theft,200173,20,187402,17,183403,16.4,184788,16.3,196729,17.1,184168,15.7,187298,16.5,182837,15.4,-8.7,-2.4,-0.7,NA
11,"Riots (Sec.143-145, 147-151, 153, 153A,153B,157,158,160 IPC)",80456,8,56235,5.1,56641,5.1,59915,5.3,66018,5.7,62942,5.4,60350,5.3,67571,5.7,-16,12,7.4,NA
12,Criminal Breach of Trust (Sec.406-409 IPC),14581,1.5,13572,1.2,13636,1.2,15531,1.4,16487,1.4,16326,1.4,15110,1.3,16678,1.4,14.4,10.4,2.2,NA
13,"Cheating (Sec.419,420 IPC)",41701,4.2,53625,4.9,58076,5.2,65326,5.7,66579,5.8,72718,6.2,63265,5.6,78999,6.7,89.4,24.9,8.6,NA
14,"Counterfeiting (Sec.231-254, 489A-489D IPC)",2299,0.2,2383,0.2,2169,0.2,2204,0.2,2991,0.3,2935,0.3,2536,0.2,2589,0.2,12.6,2.1,-11.8,NA
15,"Arson (Sec.435,436,438 IPC)",10392,1,8451,0.8,8480,0.8,9024,0.8,9249,0.8,8736,0.7,8788,0.8,8508,0.7,-18.1,-3.2,-2.6,NA
16,"Hurt (Sec.323-333,335-338 IPC)",240580,24,270861,24.6,264748,23.6,273067,24,284969,24.7,279214,23.9,274572,24.2,289022,24.4,20.1,5.3,3.5,NA
17,Dowry Deaths (Sec.304B IPC),6995,0.7,6787,0.6,7618,0.7,8093,0.7,8172,0.7,8383,0.7,7811,0.7,8391,0.7,20,7.4,0.1,NA
18,Molestation (Sec. 354 IPC),32940,3.3,34175,3.1,36617,3.3,38734,3.4,40413,3.5,38711,3.3,37730,3.3,40613,3.4,23.3,7.6,4.9,NA
