Sr. No.,Category,States/ UTs,2009,2010,Percentage Variation in 2010 Over 2009,Percentage Contribution to All-India During 2010
1,State,Andhra Pradesh,234920,228605,-2.7,7.8
2,State,Arunachal Pradesh,2817,2825,0.3,0.1
3,State,Assam,71627,69890,-2.4,2.4
4,State,Bihar,205005,196289,-4.3,6.7
5,State,Chhattisgarh,67070,72750,8.5,2.5
6,State,Goa,3124,3332,6.7,0.1
7,State,Gujarat,154679,162043,4.8,5.5
8,State,Haryana,67152,64237,-4.3,2.2
9,State,Himachal Pradesh,18999,18768,-1.2,0.6
10,State,Jammu & Kashmir,33419,31641,-5.3,1.1
11,State,Jharkhand,51558,51683,0.2,1.8
12,State,Karnataka,149981,161618,7.8,5.5
13,State,Kerala,162016,197512,21.9,6.7
14,State,Madhya Pradesh,331978,343192,3.4,11.6
15,State,Maharashtra,294753,305629,3.7,10.4
16,State,Manipur,1442,1306,-9.4,0
17,State,Meghalaya,1677,1743,3.9,0.1
18,State,Mizoram,2039,2228,9.3,0.1
19,State,Nagaland,1103,1066,-3.4,0
20,State,Odisha,80595,89775,11.4,3
21,State,Punjab,46262,49050,6,1.7
22,State,Rajasthan,189997,177537,-6.6,6
23,State,Sikkim,893,946,5.9,0
24,State,Tamil Nadu,208677,211631,1.4,7.2
25,State,Tripura,8984,6835,-23.9,0.2
26,State,Uttar Pradesh,285286,292050,2.4,9.9
27,State,Uttarakhand,11829,12792,8.1,0.4
28,State,West Bengal,113613,146595,29,5
State,State,Total (States),2801495,2903568,3.6,98.5
29,Union Territory,A & N Islands,1035,1028,-0.7,0
30,Union Territory,Chandigarh,2354,2583,9.7,0.1
31,Union Territory,D & N Haveli,694,585,-15.7,0
32,Union Territory,Daman & Diu,452,266,-41.2,0
33,Union Territory,Delhi,36263,33498,-7.6,1.1
34,Union Territory,Lakshadweep,230,15,-93.5,0
35,Union Territory,Puducherry,6502,5579,-14.2,0.2
Union Territory,Union Territory,Total (UTs),47530,43554,-8.4,1.5
Total (All-India),Total (All-India),Total (All-India),2849025,2947122,3.4,100
