Sr. No.,Category,States/ UTs,2008,2009,2010,Percentage Variation in - 2009 over 2008,Percentage Variation in - 2010 over 2009
1,State,Andhra Pradesh,1064,1394,1198,31,-14.1
2,State,Assam,251,306,291,21.9,-4.9
3,State,Bihar,2238,2342,2370,4.6,1.2
4,State,Chhattisgarh,301,358,407,18.9,13.7
5,State,Gujarat,1156,862,765,-25.4,-11.3
6,State,Haryana,1260,1264,1199,0.3,-5.1
7,State,Himachal Pradesh,8,9,17,12.5,88.9
8,State,Jammu & Kashmir,13,27,36,107.7,33.3
9,State,Jharkhand,429,592,584,38,-1.4
10,State,Karnataka,447,604,580,35.1,-4
11,State,Kerala,209,269,333,28.7,23.8
12,State,Madhya Pradesh,2029,2192,1909,8,-12.9
13,State,Maharashtra,3924,4048,3896,3.2,-3.8
14,State,Odisha,808,988,998,22.3,1
15,State,Punjab,401,468,390,16.7,-16.7
16,State,Rajasthan,745,928,766,24.6,-17.5
17,State,Tamil Nadu,637,660,842,3.6,27.6
18,State,Tripura,NA,NA,6,NA,NA
18,State,Uttar Pradesh,2632,2632,3933,0,49.4
19,State,West Bengal,1197,1105,1437,-7.7,30
20,Union Territory,Delhi UT,951,864,816,-9.1,-5.6
Total (All-India),Total (All-India),Total (All-India),20700,21912,22773,5.9,3.9
