Sr. No. (Col.1),Crime Head (Col. 2),Cases Withdrawn by Govt. (Col. 3),Percentage of Cases to Total Cases for Investigation in Which - Investigation Refused (Col. 4),Percentage of Cases to Total Cases for Investigation in Which - Investigation was Completed - Charge Found False /Mistake of Fact or Law Etc. (Col. 5),Percentage of Cases to Total Cases for Investigation in Which - Investigation was Completed - Final Report True Submitted (Col. 6),Percentage of Cases to Total Cases for Investigation in Which - Investigation was Completed - Charge Sheets Submitted (Col. 7),Percentage of Cases to Total Cases for Investigation in Which - Investigation was Completed - Total (Col. 8) = Col. {(5)+6)+7)},Percentage of Cases Pending Investigation at the end of the year (Col. 9),Chargesheeting Rate (Col. 10) = Col. ((7/6) +7× 100)
1,Murder (Sec.302 IPC),0,0.1,2.4,8.1,43.1,53.6,46.3,84.2
2,Attempt to Commit Murder (Sec. 307 IPC),0,0.1,3.2,5.7,51.1,60,39.9,89.9
3,"C.h. not Amounting Murder (Sec.304 , 308 IPC)",0,0,3.4,9.2,51.7,64.3,35.7,84.9
4,Rape (Sec. 376 IPC) - Total,0,0.1,5,3.2,55.8,64,35.8,94.5
4,Rape (Sec. 376 IPC) - Custodial Rape,0,0,0,0,50,50,50,100
4,Rape (Sec. 376 IPC) - Other Rape,0,0.1,5,3.2,55.8,64,35.8,94.5
5,"Kidnapping & Abduction (Sec.363-369,371-373 IPC) - Total",0.2,0.3,12.2,12.3,32.2,56.6,42.8,72.4
5,"Kidnapping & Abduction (Sec.363-369,371-373 IPC) - of Women & Girls",0.2,0.2,11.7,11.8,34.1,57.7,41.9,74.2
5,"Kidnapping & Abduction (Sec.363-369,371-373 IPC) - of Others",0.5,0.4,13.6,13.6,26.3,53.6,45.6,65.9
6,Dacoity (Sec.395-398 IPC),0,0,3.1,9.4,30.3,42.8,57.1,76.4
7,Preparation & Assembly for Dacoity (Sec.399 To 402 IPC),0,0,0.2,2.2,46.1,48.4,51.5,95.5
8,"Robbery (Sec.392-394, 397,398 IPC)",0,0.1,3,16.9,40.7,60.7,39.2,70.6
9,"Burglary (Sec.449-452,454,455,457-460 IPC)",0,0.1,2,36.8,28.2,67,32.9,43.4
10,Theft (Sec.379 – 382 IPC) - Total,0,0.2,2,40.3,24.4,66.7,33.2,37.7
10,Theft (Sec.379 – 382 IPC) - Auto Theft,0,0,1.5,50.8,18.4,70.6,29.3,26.6
10,Theft (Sec.379 – 382 IPC) - Other Theft,0,0.3,2.4,32.6,28.8,63.8,36,46.9
11,"Riots (Sec.143-145, 147-151, 153, 153A,153B,157,158,160 IPC)",0,0,3.6,5.6,55.8,65,35,90.9
12,Criminal Breach of Trust (Sec.406-409 IPC),0,0.1,6.7,13.3,31.2,51.2,48.6,70.2
13,"Cheating (Sec.419,420 IPC)",0,0.2,14.2,11.2,29.1,54.5,45.3,72.1
14,"Counterfeiting (Sec.231-254, 489A-489D IPC)",0,0,0.8,27,20.1,48,52,42.7
15,"Arson (Sec.435,436,438 IPC)",0,0.1,5.9,18.7,40,64.6,35.3,68.1
16,"Hurt (Sec.323-333,335-338 IPC)",0,0,3.4,4.5,72.9,80.7,19.3,94.2
17,Dowry Deaths (Sec.304B IPC),0,0,3.3,4,54.6,61.9,38,93.2
18,Molestation (Sec. 354 IPC),0,0.1,4.9,2.4,70.1,77.4,22.5,96.7
19,Sexual Harassment (Sec.509 IPC),0,0,3,10.7,70.3,84.1,15.9,86.7
20,Cruelty by Husband and Relatives (Sec. 498 A IPC),0,0.1,7.2,3.8,61.8,72.8,27.1,94.2
21,Importation of Girls (Sec.366B IPC),0,0,3.4,3.4,33.3,40.2,59.8,90.6
22,Causing Death by Negligence (Sec. 304A IPC),0,0.1,2.6,14,57.1,73.7,26.2,80.3
23,Other IPC Crimes,0,0,4.9,7.5,66.4,78.8,21.1,89.8
Total Cognizable Crimes Under IPC,Total Cognizable Crimes Under IPC,0,0.1,4.5,14.2,53.5,72.2,27.7,79.1
