Sr. No.,Crime Head,Total No. of Persons Under Arrest* Including those from Previous Year,Persons Released Before Trial - No.,Persons Released Before Trial - Percentage to Total,Persons Charge Sheeted - No.,Persons Charge Sheeted - Percentage to Total,Persons Under Investigation at the end of the Year - No.,Persons Under Investigation at the end of the Year - Percentage to Total
1,"Murder (Sec 302, IPC)",91690,4143,4.5,57944,63.2,29603,32.3
2,Attempt to Commit Murder (Sec 307 IPC),88605,3270,3.7,62663,70.7,22672,25.6
3,"C.h. not Amounting Murder (Sec 304, 308 IPC)",9922,974,9.8,6143,61.9,2805,28.3
4,Rape (Sec 376 IPC) - Total,35967,1698,4.7,25215,70.1,9054,25.2
4,Rape (Sec 376 IPC) - Custodial Rape,11,0,0,4,36.4,7,63.6
4,Rape (Sec 376 IPC) - Other Rape,35956,1698,4.7,25211,70.1,9047,25.2
5,"Kidnapping & Abduction (Sec 363-369, 371-373 IPC) - Total",64498,7712,12,36425,56.5,20361,31.6
5,"Kidnapping & Abduction (Sec 363-369, 371-373 IPC) - (i) of Women & Girls",46424,6285,13.5,26857,57.9,13282,28.6
5,"Kidnapping & Abduction (Sec 363-369, 371-373 IPC) - (ii) of Others",18074,1427,7.9,9568,52.9,7079,39.2
6,Dacoity (Sec 395 – 398 IPC),29672,2253,7.6,15917,53.6,11502,38.8
7,Preparation & Assembly for Dacoity (Sec 399-402 IPC),16504,659,4,9967,60.4,5878,35.6
8,"Robbery (Sec 392-394, 397, 398 IPC)",51120,2902,5.7,32002,62.6,16216,31.7
9,"Burglary (Sec. 449–452,454,455,457–460 IPC)",90098,5923,6.6,60563,67.2,23612,26.2
10,Theft (Sec 379 – 382 IPC) - Total,261752,20029,7.7,167360,63.9,74363,28.4
10,Theft (Sec 379 – 382 IPC) - (i) Auto Theft,73212,5097,7,47683,65.1,20432,27.9
10,Theft (Sec 379 – 382 IPC) - (ii) Other Theft,188540,14932,7.9,119677,63.5,53931,28.6
11,"Riots (Sec 143-145, 147-151, 153, 153a., 153b, 157, 158, 160 IPC)",415169,16084,3.9,298564,71.9,100521,24.2
12,Criminal Breach of Trust (Sec.406-409 IPC),29780,3455,11.6,16360,54.9,9965,33.5
13,"Cheating (Sec 419, 420 IPC)",108328,10637,9.8,65016,60,32675,30.2
14,"Counterfeiting (Sec.231-254,489a-489d)",4506,497,11,2188,48.6,1821,40.4
15,"Arson (Sec 435, 436, 438 IPC)",15529,829,5.3,10048,64.7,4652,30
16,"Hurt (Sec 323-333, 335-338 IPC)",590982,11560,2,492067,83.3,87355,14.8
17,Dowry Deaths (Section 304b IPC),31546,3528,11.2,20184,64,7834,24.8
18,Molestation (Section 354 IPC),58283,1855,3.2,47723,81.9,8705,14.9
19,Sexual Harassment (Sec 509 IPC),12173,132,1.1,10470,86,1571,12.9
20,Cruelty by Husband and Relatives (Sec 498a IPC),220529,11619,5.3,170783,77.4,38127,17.3
21,Importation of Girls (Sec 366b IPC),133,0,0,75,56.4,58,43.6
22,Causing Death by Negligence (Sec 304a IPC),108757,3872,3.6,81222,74.7,23663,21.8
23,Other IPC Crimes,1347342,38463,2.9,1074863,79.8,234016,17.4
Total Cognizable Crimes Under IPC,Total Cognizable Crimes Under IPC,3682885,152094,4.1,2763762,75,767029,20.8
