Sl. No. (Col.1),Crime Head (Col. 2),Cases Withdrawn by Govt. (Col. 3),Percentage of Cases to Total Cases for Trial - Compounded or Withdrawn (Col. 4),Percentage of Cases to Total Cases for Trial in Which Trials were Completed - Convicted (Col. 5),Percentage of Cases to Total Cases for Trial in Which Trials were Completed - Acquitted or Discharged (Col. 6),Percentage of Cases to Total Cases for Trial in Which Trials were Completed - Total (Col. 7) = {(Col.5)+(Col.6)} ,Percentage of Cases to Total Cases for Trial - Pending trial at the end of the year (Col. 8),Conviction Rate (Col. 9) = {(col.5)/(Col.7)} × 100
1,Murder (Sec.302 IPC),0,0,4.8,8.2,13,87,36.7
2,Attempt to Commit Murder (Sec. 307 IPC),0,0.2,4.2,9.9,14.1,85.7,29.9
3,"C.h. Not Amounting Murder (Sec.304 , 308 IPC)",0,0.1,5.8,9.1,15,85,38.9
4,Rape (Sec. 376 IPC),0,0.2,4.2,11.7,15.9,83.9,26.6
5,Rape (Sec. 376 IPC) - Custodial Rape,0,0,22.2,11.1,33.3,66.7,66.7
6,Rape (Sec. 376 IPC) - Other Rape,0,0.2,4.2,11.7,15.9,83.9,26.5
7,"Kidnapping & Abduction (Sec.363-369,371-373 IPC)",0,0.3,3.8,9.9,13.7,86,27.7
8,"Kidnapping & Abduction (Sec.363-369,371-373 IPC) - Of Women & Girls",0,0.3,3.9,9.9,13.7,86,28.1
9,"Kidnapping & Abduction (Sec.363-369,371-373 IPC) - Of Others",0,0.2,3.7,10.1,13.8,85.9,26.7
10,Dacoity (Sec.395-398 IPC),0,0,2.2,8,10.2,89.8,21.9
11,Preparation & Assembly for Dacoity (Sec.399 To 402 IPC),0,0.1,3.1,8.8,11.8,88.1,25.9
12,"Robbery (Sec.392-394, 397,398 IPC)",0,0.1,3.3,8.5,11.8,88,28.3
13,"Burglary (Sec.449-452,454,455,457-460 IPC)",0,0.4,3.9,7.5,11.4,88.2,34.5
14,Theft (Sec.379 – 382 IPC),0,0.4,4,6.7,10.7,88.9,37.5
15,Theft (Sec.379 – 382 IPC) - Auto Theft,0,0.3,5.1,6.9,12,87.7,42.7
16,Theft (Sec.379 – 382 IPC) - Other Theft,0,0.5,3.7,6.6,10.3,89.3,35.7
17,"Riots (Sec.143-145, 147-151, 153, 153A,153B,157,158,160 IPC)",0,0.9,2.1,7.5,9.6,89.5,21.7
18,Criminal Breach of Trust (Sec.406-409 IPC),0,0.5,2.7,5.5,8.2,91.4,32.7
19,"Cheating (Sec.419,420 IPC)",0.1,1,2.6,6.3,8.9,90.2,29.2
20,"Counterfeiting (Sec.231-254, 489A-489D IPC)",0,0,4.8,7.9,12.7,87.3,37.9
21,"Arson (Sec.435,436,438 IPC)",0,0.5,2.6,10.7,13.2,86.3,19.3
22,"Hurt (Sec.323-333,335-338 IPC)",0,4.2,4.4,10.2,14.6,81.2,30.1
23,Dowry Deaths (Sec.304B IPC),0,0.3,6,11.8,17.8,81.9,33.6
24,Molestation (Sec. 354 IPC),0,2.8,3.8,8.9,12.7,84.5,29.7
25,Sexual Harassment (Sec.509 IPC),0,3.2,12,11.1,23.1,73.7,52
26,Cruelty by Husband and Relatives (Sec. 498 A IPC),0,1.8,2.2,9.2,11.4,86.7,19.1
27,Importation Of Girls (Sec.366B IPC),0,0,1.3,5.3,6.6,93.4,20
28,Causing Death By Negligence (Sec. 304A IPC),0,0.7,4.9,9.2,14.1,85.3,34.5
29,Other IPC Crimes,0,1.9,7.6,7,14.5,83.6,52.1
30,Total Cognizable Crimes Under IPC,0,1.8,5.4,7.9,13.3,84.9,40.7
