Sr. No.,Crime Head,2009,2010,Percentage Variation in 2010 Over 2009,Percentage Share of Arrestees Under Each Crime During 2010
1,Arms Act,84873,80279,-5.4,1.7
2,Narcotic Drugs & Psychotropic Substances Act,35436,34544,-2.5,0.7
3,Gambling Act,351425,352642,0.3,7.3
4,Excise Act,197732,185956,-6,3.8
5,Prohibition Act,408481,416152,1.9,8.6
6,Explosives & Explosive Substances Act,5464,4850,-11.2,0.1
7,Immoral Traffic (P) Act,7802,6775,-13.2,0.1
8,Indian Railways Act,163,85,-47.9,0
9,The foreigners Act,1938,2449,26.4,0.1
10,Protection of Civil Rights Act - Total,360,353,-1.9,0
10,Protection of Civil Rights Act (i) Pcr Act for Scs,358,342,-4.5,0
10,Protection of Civil Rights Act (ii) Pcr Act for Sts,2,11,450,0
11,Indian Passport Act,2034,1497,-26.4,0
12,Essential Commodities Act,11038,11795,6.9,0.2
13,Terrorist & Disruptive Activities Act,0,0,NA,NA
14,Antiquities & Art Treasures Act,67,102,52.2,0
15,Dowry Prohibition Act,10242,12080,17.9,0.2
16,Prohibition of Child Marriage Act ##,1,204,20300,0
17,Indecent Representation of Women (P) Act,879,958,9,0
18,Copyright Act,7764,9668,24.5,0.2
19,Sati Prevention Act,0,0,NA,NA
20,SC/ST (prevention of Atrocities) Act - Total,20902,18681,-10.6,0.4
20,SC/ST (prevention of Atrocities) Act (i) Prevention of Attrocities Act for Scs,19332,16801,-13.1,0.3
20,SC/ST (prevention of Atrocities) Act (ii) Prevention of Attrocities Act for Sts,1570,1880,19.7,0
21,Forest Act,7203,8119,12.7,0.2
22,Other SLL Crimes ++,3748802,3695626,-1.4,76.3
Total Cognizable Crimes Under SLL,Total Cognizable Crimes Under SLL,4902606,4842815,-1.2,100
