Sr. No.,Category,States/ UTs/ Cities,Population (In Lakhs),Infanticide (Sec. 315 IPC) - (I),Infanticide (Sec. 315 IPC) - (R),Infanticide (Sec. 315 IPC) - (P),Murder (Sec. 302 IPC) - (I),Murder (Sec. 302 IPC) - (R),Murder (Sec. 302 IPC) - (P),Rape (Sec. 376 IPC) - (I),Rape (Sec. 376 IPC) - (R),Rape (Sec. 376 IPC) - (P),"Kidnapping & Abduction (Sec.363-369,371-373 IPC) - (I)","Kidnapping & Abduction (Sec.363-369,371-373 IPC) - (R)","Kidnapping & Abduction (Sec.363-369,371-373 IPC) - (P)","Foeticide (Sec.315,316 IPC) - (I)","Foeticide (Sec.315,316 IPC) - (R)","Foeticide (Sec.315,316 IPC) - (P)",Abetment to Suicide (Sec.305 IPC) - (I),Abetment to Suicide (Sec.305 IPC) - (R),Abetment to Suicide (Sec.305 IPC) - (P),Exposure and Abandonment (Sec.317 IPC) - (I),Exposure and Abandonment (Sec.317 IPC) - (R),Exposure and Abandonment (Sec.317 IPC) - (P),Procuration of Minor Girl (Sec.366A IPC) - (I),Procuration of Minor Girl (Sec.366A IPC) - (R),Procuration of Minor Girl (Sec.366A IPC) - (P),Buying of Girls for Prostitution (Sec.373 IPC) - (I),Buying of Girls for Prostitution (Sec.373 IPC) - ( R),Buying of Girls for Prostitution (Sec.373 IPC) - (P),Selling of Girls for Prostitution (Sec.372 IPC) - (I),Selling of Girls for Prostitution (Sec.372 IPC) - (R),Selling of Girls for Prostitution (Sec.372 IPC) - (P),Prohibition of Child Marriage Act 2006 - (I),Prohibition of Child Marriage Act 2006 - (R),Prohibition of Child Marriage Act 2006 - (P),Other Crimes - (I),Other Crimes - (R),Other Crimes - (P),Total - (I),Total - (R),Total - (P)
1,State,Andhra Pradesh,841.29,6,0,6,63,0.1,4.5,446,0.5,8.1,581,0.7,5.4,1,0,0.9,9,0,16.1,55,0.1,7.6,82,0.1,12.1,0,0,0,3,0,2.3,0,0,0,577,0.7,8,1823,2.2,6.8
2,State,Arunachal Pradesh,12.35,0,0,0,0,0,0,12,1,0.2,5,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0.2,0,20,1.6,0.1
3,State,Assam,309.78,0,0,0,10,0,0.7,39,0.1,0.7,17,0.1,0.2,0,0,0,0,0,0,0,0,0,75,0.2,11,0,0,0,3,0,2.3,0,0,0,53,0.2,0.7,197,0.6,0.7
4,State,Bihar,971.84,2,0,2,200,0.2,14.2,114,0.1,2.1,1359,1.4,12.7,0,0,0,0,0,0,0,0,0,152,0.2,22.4,0,0,0,0,0,0,8,0,13.3,8,0,0.1,1843,1.9,6.9
5,State,Chhattisgarh,245.38,1,0,1,51,0.2,3.6,382,1.6,7,186,0.8,1.7,9,0,8.1,1,0,1.8,6,0,0.8,11,0,1.6,0,0,0,0,0,0,2,0,3.3,814,3.3,11.3,1463,6,5.5
6,State,Goa,17.43,1,0.1,1,1,0.1,0.1,23,1.3,0.4,14,0.8,0.1,0,0,0,1,0.1,1.8,4,0.2,0.6,1,0.1,0.1,0,0,0,0,0,0,0,0,0,34,2,0.5,79,4.5,0.3
7,State,Gujarat,581.93,0,0,0,66,0.1,4.7,102,0.2,1.9,565,1,5.3,10,0,9,10,0,17.9,121,0.2,16.7,0,0,0,0,0,0,0,0,0,14,0,23.3,118,0.2,1.6,1006,1.7,3.8
8,State,Haryana,245.9,7,0,7,22,0.1,1.6,107,0.4,2,123,0.5,1.2,2,0,1.8,0,0,0,24,0.1,3.3,0,0,0,0,0,0,0,0,0,0,0,0,18,0.1,0.3,303,1.2,1.1
9,State,Himachal Pradesh,66.87,1,0,1,5,0.1,0.4,72,1.1,1.3,86,1.3,0.8,0,0,0,1,0,1.8,4,0.1,0.6,3,0,0.4,0,0,0,0,0,0,5,0.1,8.3,69,1,1,246,3.7,0.9
10,State,Jammu & Kashmir,133.64,0,0,0,1,0,0.1,8,0.1,0.1,5,0,0,1,0,0.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,17,0.1,0.1
11,State,Jharkhand,309.37,3,0,3,1,0,0.1,0,0,0,6,0,0.1,0,0,0,0,0,0,0,0,0,21,0.1,3.1,3,0,3.8,1,0,0.8,0,0,0,19,0.1,0.3,54,0.2,0.2
12,State,Karnataka,587.99,2,0,2,43,0.1,3.1,108,0.2,2,125,0.2,1.2,4,0,3.6,0,0,0,30,0.1,4.1,21,0,3.1,0,0,0,0,0,0,8,0,13.3,68,0.1,0.9,409,0.7,1.5
13,State,Kerala,349.72,1,0,1,41,0.1,2.9,208,0.6,3.8,111,0.3,1,0,0,0,3,0,5.4,9,0,1.2,6,0,0.9,0,0,0,0,0,0,6,0,10,211,0.6,2.9,596,1.7,2.2
14,State,Madhya Pradesh,721.06,20,0,20,124,0.2,8.8,1182,1.6,21.6,440,0.6,4.1,18,0,16.2,7,0,12.5,93,0.1,12.8,18,0,2.7,0,0,0,2,0,1.5,4,0,6.7,3004,4.2,41.8,4912,6.8,18.4
15,State,Maharashtra,1100.49,3,0,3,211,0.2,15,747,0.7,13.6,749,0.7,7,5,0,4.5,16,0,28.6,198,0.2,27.3,26,0,3.8,27,0,34.6,1,0,0.8,4,0,6.7,1277,1.2,17.8,3264,3,12.2
16,State,Manipur,27.02,0,0,0,2,0.1,0.1,11,0.4,0.2,60,2.2,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73,2.7,0.3
17,State,Meghalaya,26.09,0,0,0,2,0.1,0.1,91,3.5,1.7,16,0.6,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,110,4.2,0.4
18,State,Mizoram,10.08,0,0,0,1,0.1,0.1,42,4.2,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0.7,0.1,50,5,0.2
19,State,Nagaland,22.5,0,0,0,0,0,0,3,0.1,0.1,7,0.3,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0.4,0
20,State,Odisha,408.28,0,0,0,9,0,0.6,74,0.2,1.3,51,0.1,0.5,0,0,0,0,0,0,0,0,0,4,0,0.6,0,0,0,0,0,0,0,0,0,56,0.1,0.8,194,0.5,0.7
21,State,Punjab,272.68,8,0,8,37,0.1,2.6,144,0.5,2.6,373,1.4,3.5,15,0.1,13.5,2,0,3.6,11,0,1.5,0,0,0,0,0,0,1,0,0.8,0,0,0,36,0.1,0.5,627,2.3,2.3
22,State,Rajasthan,671.06,7,0,7,75,0.1,5.3,369,0.5,6.7,706,1.1,6.6,18,0,16.2,2,0,3.6,119,0.2,16.4,14,0,2.1,0,0,0,0,0,0,2,0,3.3,6,0,0.1,1318,2,4.9
23,State,Sikkim,6.1,0,0,0,3,0.5,0.2,14,2.3,0.3,5,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1.1,0.1,29,4.8,0.1
24,State,Tamil Nadu,676.32,7,0,7,73,0.1,5.2,203,0.3,3.7,459,0.7,4.3,0,0,0,1,0,1.8,0,0,0,13,0,1.9,0,0,0,0,0,0,0,0,0,54,0.1,0.8,810,1.2,3
25,State,Tripura,36.1,0,0,0,2,0.1,0.1,107,3,2,22,0.6,0.2,0,0,0,0,0,0,0,0,0,32,0.9,4.7,0,0,0,0,0,0,1,0,1.7,63,1.7,0.9,227,6.3,0.9
26,State,Uttar Pradesh,1990.28,31,0,31,315,0.2,22.4,451,0.2,8.2,1225,0.6,11.5,18,0,16.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,8.3,287,0.1,4,2332,1.2,8.7
27,State,Uttarakhand,98.17,0,0,0,3,0,0.2,10,0.1,0.2,9,0.1,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0.1,0.1,31,0.3,0.1
28,State,West Bengal,902.22,0,0,0,16,0,1.1,73,0.1,1.3,332,0.4,3.1,0,0,0,3,0,5.4,0,0,0,200,0.2,29.5,48,0.1,61.5,115,0.1,88.5,0,0,0,93,0.1,1.3,880,1,3.3
State,State,Total (States),11641.94,100,0,100,1377,0.1,97.8,5142,0.4,93.8,7637,0.7,71.6,101,0,91,56,0,100,674,0.1,93,679,0.1,100,78,0,100,126,0,96.9,59,0,98.3,6894,0.6,95.8,22923,2,85.9
29,Union Territory,A & N Islands,4.32,0,0,0,1,0.2,0.1,15,3.5,0.3,9,2.1,0.1,3,0.7,2.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,5.3,0.3,51,11.8,0.2
30,Union Territory,Chandigarh,11.25,0,0,0,1,0.1,0.1,16,1.4,0.3,23,2,0.2,0,0,0,0,0,0,6,0.5,0.8,0,0,0,0,0,0,0,0,0,0,0,0,13,1.2,0.2,59,5.2,0.2
31,Union Territory,D & N Haveli,2.83,0,0,0,0,0,0,3,1.1,0.1,10,3.5,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,4.6,0
32,Union Territory,Daman & Diu,2,0,0,0,0,0,0,1,0.5,0,1,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0
33,Union Territory,Delhi,183.33,0,0,0,29,0.2,2.1,304,1.7,5.5,2982,16.3,27.9,7,0,6.3,0,0,0,45,0.2,6.2,0,0,0,0,0,0,4,0,3.1,0,0,0,259,1.4,3.6,3630,19.8,13.6
34,Union Territory,Lakshadweep,0.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,Union Territory,Puducherry,11.17,0,0,0,0,0,0,3,0.3,0.1,8,0.7,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.1,1.7,4,0.4,0.1,16,1.4,0.1
Union Territory,Union Territory,Total (UTs),215.62,0,0,0,31,0.1,2.2,342,1.6,6.2,3033,14.1,28.4,10,0,9,0,0,0,51,0.2,7,0,0,0,0,0,0,4,0,3.1,1,0,1.7,299,1.4,4.2,3771,17.5,14.1
Total (All-India),Total (All-India),Total (all-india),11857.56,100,0,100,1408,0.1,100,5484,0.5,100,10670,0.9,100,111,0,100,56,0,100,725,0.1,100,679,0.1,100,78,0,100,130,0,100,60,0,100,7193,0.6,100,26694,2.3,100
36,City,Agra,13.21,0,0,0,8,0.6,5.6,5,0.4,0.6,29,2.2,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.1,14.3,5,0.4,0.3,48,3.6,0.8
37,City,Ahmedabad,45.19,0,0,0,0,0,0,0,0,0,70,1.5,2,0,0,0,0,0,0,17,0.4,10.6,0,0,0,0,0,0,0,0,0,1,0,14.3,1,0,0.1,89,2,1.4
38,City,Allahabad,10.5,0,0,0,3,0.3,2.1,3,0.3,0.4,10,1,0.3,1,0.1,8.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0.4,0.3,21,2,0.3
39,City,Amritsar,10.11,7,0.7,63.6,4,0.4,2.8,12,1.2,1.5,40,4,1.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.2,0.1,65,6.4,1
40,City,Asansol,10.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41,City,Bengaluru,56.87,0,0,0,2,0,1.4,0,0,0,9,0.2,0.3,0,0,0,0,0,0,0,0,0,4,0.1,16.7,0,0,0,0,0,0,0,0,0,2,0,0.1,17,0.3,0.3
42,City,Bhopal,14.55,0,0,0,8,0.5,5.6,63,4.3,8.1,30,2.1,0.9,0,0,0,0,0,0,9,0.6,5.6,0,0,0,0,0,0,1,0.1,7.1,0,0,0,0,0,0,111,7.6,1.8
