Category (Col. 1),States/ UTs (Col. 2),No. of Reported Cases Where the Loss of Property Under Criminal Breach of Trust Worth Rs. (Col. 3) - 1-10 Crore,No. of Reported Cases Where the Loss of Property Under Criminal Breach of Trust Worth Rs. (Col. 4) - 10-25 Crore,No. of Reported Cases Where the Loss of Property Under Criminal Breach of Trust Worth Rs. (Col. 5) - 25-50 Crore,No. of Reported Cases Where the Loss of Property Under Criminal Breach of Trust Worth Rs. (Col. 6) - 50-100 Crore,No. of Reported Cases Where the Loss of Property Under Criminal Breach of Trust Worth Rs. (Col. 7) - Above 100 Crore,No. of Reported Cases Where the Loss of Property Under Criminal Breach of Trust Worth Rs. (Col. 8) - Total,No. of Reported Cases Where the Loss of Property Under Cheating Worth Rs. (Col. 9) - 1-10 Crore,No. of Reported Cases Where the Loss of Property Under Cheating Worth Rs. (Col. 10) - 10-25 Crore,No. of Reported Cases Where the Loss of Property Under Cheating Worth Rs. (Col. 11) - 25-50 Crore,No. of Reported Cases Where the Loss of Property Under Cheating Worth Rs. (Col. 12) - 50-100 Crore,No. of Reported Cases Where the Loss of Property Under Cheating Worth Rs. (Col. 13) - Above 100 Crore,No. of Reported Cases Where the Loss of Property Under Cheating Worth Rs. (Col. 14) - Total,Grand Total (Col. 15) = Col. (8+14)
State,Andhra Pradesh,4,3,3,15,0,25,14,0,0,0,0,14,39
State,Arunachal Pradesh,0,0,0,0,0,0,0,0,0,0,0,0,0
State,Assam,0,0,0,0,0,0,0,0,0,0,0,0,0
State,Bihar,0,0,0,0,0,0,0,0,0,0,0,0,0
State,Chhattisgarh,0,0,0,0,0,0,0,0,0,0,0,0,0
State,Goa,0,0,0,0,0,0,1,0,0,0,0,1,1
State,Gujarat,9,0,0,0,0,9,10,0,1,1,1,13,22
State,Haryana,0,0,0,0,0,0,3,0,0,0,1,4,4
State,Himachal Pradesh,0,0,0,0,0,0,0,0,0,0,0,0,0
State,Jammu & Kashmir,0,0,0,0,0,0,0,0,0,0,0,0,0
State,Jharkhand,0,20,0,0,0,20,0,0,0,0,0,0,20
State,Karnataka,461,1,1,1,0,464,3131,3,0,0,0,3134,3598
State,Kerala,6,0,0,0,0,6,4,0,0,1,0,5,11
State,Madhya Pradesh,2,0,0,0,0,2,0,0,1,0,0,1,3
State,Maharashtra,13,6,2,0,1,22,75,5,1,0,1,82,104
State,Manipur,0,0,0,0,0,0,0,0,0,0,0,0,0
State,Meghalaya,0,0,0,0,0,0,0,0,0,0,0,0,0
State,Mizoram,0,0,0,0,0,0,0,0,0,0,0,0,0
State,Nagaland,10,0,0,0,0,10,14,0,0,0,0,14,24
State,Orissa,0,0,0,0,0,0,0,0,0,0,0,0,0
State,Punjab,2,0,0,0,0,2,5,0,0,0,0,5,7
State,Rajasthan,0,0,0,0,0,0,0,0,0,0,0,0,0
State,Sikkim,0,0,0,0,0,0,0,0,0,0,0,0,0
State,Tamil Nadu,9,0,0,0,0,9,5,1,0,0,0,6,15
State,Tripura,0,0,0,0,0,0,0,0,0,0,0,0,0
State,Uttar Pradesh,3,0,0,0,0,3,5,0,0,0,0,5,8
State,Uttarakhand,0,0,0,0,0,0,0,0,0,0,0,0,0
State,West Bengal,1,0,0,0,0,1,16,9,1,1,0,27,28
State,Total (States),520,30,6,16,1,573,3283,18,4,3,3,3311,3884
Union Territory,A & N Islands,0,0,0,0,0,0,0,0,0,0,0,0,0
Union Territory,Chandigarh,2,1,0,0,0,3,0,0,0,0,0,0,3
Union Territory,D & N Haveli,0,0,0,0,0,0,0,0,0,0,0,0,0
Union Territory,Daman & Diu,0,0,0,0,0,0,0,0,0,0,0,0,0
Union Territory,Delhi,1,0,0,0,0,1,48,23,12,0,0,83,84
Union Territory,Lakshadweep,0,0,0,0,0,0,0,0,0,0,0,0,0
Union Territory,Puducherry,0,0,0,0,0,0,0,0,0,0,0,0,0
Union Territory,Total (UTs),3,1,0,0,0,4,48,23,12,0,0,83,87
Total (All-India),Total (All-India),523,31,6,16,1,577,3331,41,16,3,3,3394,3971
