Category (Col. 1),States/ UTs (Col. 2),Age Groups (Col. 3) - 18 to 25 - Years,Age Groups (Col. 4) - 25 to 35 - Years,Age Groups (Col. 5) - 35 to 45 - Years,Age Groups (Col. 6) - 45 to 55 - Years,Age Groups (Col. 7) - Above 55 - Years,Age Groups (Col. 8) - Total = Col. (3 to 7)
State,Andhra Pradesh,0,11,16,19,0,46
State,Arunachal Pradesh,0,0,0,0,0,0
State,Assam,0,1,9,3,0,13
State,Bihar,0,1,10,3,1,15
State,Chhattisgarh,8,54,18,2,0,82
State,Goa,0,0,0,0,0,0
State,Gujarat,1,13,18,22,3,57
State,Haryana,1,6,9,10,0,26
State,Himachal Pradesh,0,1,2,1,1,5
State,Jammu & Kashmir,2,9,12,2,0,25
State,Jharkhand,0,27,13,13,2,55
State,Karnataka,0,4,10,7,1,22
State,Kerala,0,1,2,2,0,5
State,Madhya Pradesh,1,5,15,9,1,31
State,Maharashtra,3,24,35,35,0,97
State,Manipur,0,1,0,0,0,1
State,Meghalaya,0,0,0,0,0,0
State,Mizoram,0,0,1,0,0,1
State,Nagaland,0,0,0,0,0,0
State,Odisha,1,6,3,2,0,12
State,Punjab,0,13,67,23,7,110
State,Rajasthan,7,8,19,9,1,44
State,Sikkim,0,0,0,1,0,1
State,Tamil Nadu,5,15,17,26,4,67
State,Tripura,0,2,0,0,0,2
State,Uttar Pradesh,3,18,44,33,7,105
State,Uttarakhand,2,9,1,3,0,15
State,West Bengal,0,2,10,10,3,25
State,Total (States),34,231,331,235,31,862
Union Territory,A & N Islands,0,0,0,0,1,1
Union Territory,Chandigarh,0,0,0,0,0,0
Union Territory,D & N Haveli,0,0,0,0,0,0
Union Territory,Daman & Diu,0,0,0,0,0,0
Union Territory,Delhi,1,1,5,2,0,9
Union Territory,Lakshadweep,0,0,0,0,0,0
Union Territory,Puducherry,0,0,0,0,0,0
Union Territory,Total (UTs),1,1,5,2,1,10
Total (All-India),Total (All-India),35,232,336,237,32,872
