Category,Crime Head,Cases Registered,Persons Arrested
A. Offences under IT Act,1. Tampering computer source documents,64,79
A. Offences under IT Act,2. Hacking with Computer Systems - (i) Loss/damage to computer resource/utility,346,233
A. Offences under IT Act,2. Hacking with Computer Systems - (ii) Hacking,164,61
A. Offences under IT Act,3. Obscene publication/transmission in electronic form,328,361
A. Offences under IT Act,4. Failure - (i) of compliance/orders of certifying Authority,2,5
A. Offences under IT Act,4. Failure - (ii) to assist in decrypting the information intercepted by Govt. Agency,0,0
A. Offences under IT Act,5. Un-authorised access/attempt to access of protected Computer system,3,6
A. Offences under IT Act,6. Obtaining License or Digital Signature Certificate by misrepresentation/suppression of fact,9,4
A. Offences under IT Act,7. Publishing False digital Signature Certificate,2,2
A. Offences under IT Act,8. Fraud Digital Signature Certificate,3,4
A. Offences under IT Act,9. Breach of confidentiality/privacy,15,27
A. Offences under IT Act,10. Other,30,17
A. Offences under IT Act,Total (A),966,799
B. Offences under IPC,1. Offences by/Against Public Servant,2,3
B. Offences under IPC,2. False electronic evidence,3,4
B. Offences under IPC,3. Destruction of electronic evidence,1,0
B. Offences under IPC,4. Forgery,188,257
B. Offences under IPC,5. Criminal Breach of Trust/Fraud,146,100
B. Offences under IPC,6. Counterfeiting - (i) Property/mark,1,2
B. Offences under IPC,6. Counterfeiting - (ii) Tampering,8,12
B. Offences under IPC,6. Counterfeiting - (iii)Currency/Stamps,7,16
B. Offences under IPC,Total( B),356,394
Grant Total (A+B),Grant Total (A+B),1322,1193
