Sr. No.,Category,States/ UTs,Total No. of Persons Under Trial Including those from Previous Year,Total No. of Persons Whose - Cases Compounded or Withdrawn,Total No. of Persons Whose - Trial Completed,Total No. of Persons Whose - Trial Remained Pending at the end of the year,No. of Persons Convicted,Pendency Percentage,Percentage of Pendency to All-India Total,Note of Pendency Percentage,Note of Percentage of Pendency to All-India Total
1,State,Andhra Pradesh,11073,188,3384,7501,293,67.7,4.1,NA,NA
2,State,Arunachal Pradesh,1,0,0,1,0,100,0,NA,NA
3,State,Assam,164,0,23,141,2,86,0.1,NA,NA
4,State,Bihar,18691,32,3148,15511,366,83,8.4,NA,NA
5,State,Chhattisgarh,3555,62,919,2574,304,72.4,1.4,NA,NA
6,State,Goa,11,0,0,11,0,100,0,NA,NA
7,State,Gujarat,22053,2,2093,19958,133,90.5,10.8,NA,NA
8,State,Haryana,2145,0,706,1439,121,67.1,0.8,NA,NA
9,State,Himachal Pradesh,589,44,65,480,11,81.5,0.3,NA,NA
10,State,Jammu & Kashmir,17,0,1,16,0,94.1,0,NA,NA
11,State,Jharkhand,1776,1,615,1160,199,65.3,0.6,NA,NA
12,State,Karnataka,18653,236,4859,13558,195,72.7,7.3,NA,NA
13,State,Kerala,2104,35,369,1700,31,80.8,0.9,NA,NA
14,State,Madhya Pradesh,28786,533,6393,21860,2068,75.9,11.8,NA,NA
15,State,Maharashtra,22479,17,3128,19334,101,86,10.4,NA,NA
16,State,Manipur,0,0,0,0,0,NA,NA,@,@
17,State,Meghalaya,0,0,0,0,0,NA,NA,@,@
18,State,Mizoram,0,0,0,0,0,NA,NA,@,@
19,State,Nagaland,0,0,0,0,0,NA,NA,@,@
20,State,Odisha,12465,0,2350,10115,142,81.1,5.5,NA,NA
21,State,Punjab,783,0,163,620,36,79.2,0.3,NA,NA
22,State,Rajasthan,20787,473,2850,17464,1095,84,9.4,NA,NA
23,State,Sikkim,15,2,0,13,0,86.7,0,NA,NA
24,State,Tamil Nadu,7831,30,2063,5738,364,73.3,3.1,NA,NA
25,State,Tripura,9,0,8,1,1,11.1,0,NA,NA
26,State,Uttar Pradesh,65859,103,20453,45303,13332,68.8,24.5,NA,NA
27,State,Uttarakhand,406,0,136,270,67,66.5,0.1,NA,NA
28,State,West Bengal,54,0,9,45,0,83.3,0,NA,NA
State,State,Total (States),240306,1758,53735,184813,18861,76.9,99.9,NA,NA
29,Union Territory,A & N Islands,0,0,0,0,0,NA,NA,@,@
30,Union Territory,Chandigarh,5,0,0,5,0,100,0,NA,NA
31,Union Territory,D & N Haveli,11,0,1,10,1,90.9,0,NA,NA
32,Union Territory,Daman & Diu,0,0,0,0,0,NA,NA,@,@
33,Union Territory,Delhi,118,0,43,75,7,63.6,0,NA,NA
34,Union Territory,Lakshadweep,0,0,0,0,0,NA,NA,@,@
35,Union Territory,Puducherry,162,1,30,131,1,80.9,0.1,NA,NA
Union Territory,Union Territory,Total (UTs),296,1,74,221,9,74.7,0.1,NA,NA
Total (All-India),Total (All-India),Total (All-India),240602,1759,53809,185034,18870,76.9,100,NA,NA
