Category (Col. 1),State/ UT (Col. 2),Total No. of Cases for Investigation Including Pending Cases from previous year (Col. 3),Cases Withdrawn by Govt. (Col. 4),No. of Cases in Which - (Col. 5) Investigation Refused,No. of Cases in Which Investigation Completed (Col. 6) - Charge Found False / Mistake of Fact or Law Etc.,No. of Cases in Which Investigation Completed (Col. 7) - Final Report True Submitted,No. of Cases in Which Investigation Completed (Col. 8) - Charge Sheets Submitted,No. of Cases in Which Investigation Completed (Col. 9) - Total = Col. {(6) + (7)+ (8)},No. of Cases Pending Investigation at the end of the year (Col. 10),Pendency Perentage (Col. 11),Percentage of Pendency to All India Total (Col. 12),Charge Sheeting Rate (Col. 13) = Col. (8)/(7+8) ×100),Note of Percentage of Pendency to All India Total,Note of Charge Sheeting Rate,
State,Andhra Pradesh,1119,0,20,285,11,410,706,393,35.1,21.4,97.4,NA,NA,
State,Arunachal Pradesh,57,0,0,0,17,38,55,2,3.5,0.1,69.1,NA,NA,
State,Assam,116,0,0,4,3,14,21,95,81.9,5.2,82.4,NA,NA,
State,Bihar,223,0,0,13,12,42,67,156,70,8.5,77.8,NA,NA,
State,Chhattisgarh,585,0,0,1,5,494,500,85,14.5,4.6,99,NA,NA,
State,Goa,0,0,0,0,0,0,0,0,0,NA,NA,@,@,
State,Gujarat,174,0,0,3,3,147,153,21,12.1,1.1,98,NA,NA,
State,Haryana,0,0,0,0,0,0,0,0,0,NA,NA,@,@,
State,Himachal Pradesh,2,0,0,0,0,1,1,1,50,0.1,100,NA,NA,
State,Jammu & Kashmir,0,0,0,0,0,0,0,0,0,NA,NA,@,@,
State,Jharkhand,391,0,0,16,57,131,204,187,47.8,10.2,69.7,NA,NA,
State,Karnataka,390,0,1,60,5,197,262,127,32.6,6.9,97.5,NA,NA,
State,Kerala,143,0,0,18,4,85,107,36,25.2,2,95.5,NA,NA,
State,Madhya Pradesh,1435,0,0,18,23,1302,1343,92,6.4,5,98.3,NA,NA,
State,Maharashtra,375,0,1,20,2,238,260,114,30.4,6.2,99.2,NA,NA,
State,Manipur,29,0,0,0,0,0,0,29,100,1.6,0,NA,NA,
State,Meghalaya,0,0,0,0,0,0,0,0,0,NA,NA,@,@,
State,Mizoram,0,0,0,0,0,0,0,0,0,NA,NA,@,@,
State,Nagaland,0,0,0,0,0,0,0,0,0,NA,NA,@,@,
State,Odisha,984,0,0,93,20,592,705,279,28.4,15.2,96.7,NA,NA,
State,Punjab,0,0,0,0,0,0,0,0,0,NA,NA,@,@,
State,Rajasthan,1432,0,0,706,12,569,1287,145,10.1,7.9,97.9,NA,NA,
State,Sikkim,6,0,0,0,4,2,6,0,0,0,33.3,NA,NA,
State,Tamil Nadu,33,0,0,1,0,27,28,5,15.2,0.3,100,NA,NA,
State,Tripura,40,0,0,0,2,33,35,5,12.5,0.3,94.3,NA,NA,
State,Uttar Pradesh,0,0,0,0,0,0,0,0,0,NA,NA,@,@,
State,Uttarakhand,0,0,0,0,0,0,0,0,0,NA,NA,@,@,
State,West Bengal,77,0,0,0,1,14,15,62,80.5,3.4,93.3,NA,NA,
State,Total (States),7611,0,22,1238,181,4336,5755,1834,24.1,99.7,96,NA,NA,
Union Territory,A & N Islands,3,0,0,0,0,1,1,2,66.7,0.1,100,NA,NA,
Union Territory,Chandigarh,0,0,0,0,0,0,0,0,0,NA,NA,@,@,
Union Territory,D & N Haveli,7,0,0,1,0,4,5,2,28.6,0.1,100,NA,NA,
Union Territory,Daman & Diu,1,0,0,0,0,0,0,1,100,0.1,0,NA,NA,
Union Territory,Delhi,0,0,0,0,0,0,0,0,0,NA,NA,@,@,
Union Territory,Lakshadweep,0,0,0,0,0,0,0,0,0,NA,NA,@,@,
Union Territory,Puducherry,0,0,0,0,0,0,0,0,0,NA,NA,@,@,
Union Territory,Total (UTs),11,0,0,1,0,5,6,5,45.5,0.3,100,NA,NA,
Total (All-India),Total (All-India),7622,0,22,1239,181,4341,5761,1839,24.1,100,96,NA,NA,
