Sr. No.,Category,States/ UTs,Education - Illiterate,Education - Primary,Education - Above Primary but Below Matric/ H.Sec.,Education - Matric H.Sec. & Above,Family Background - Total,Family Background - Living with Parents,Family Background - Living with Guardians,Family Background - Homeless,Family Background - Total,"Economic Status - Annual Income (Upto Rs. 25,000)","Economic Status - Annual Income (Rs. 25,001 to Rs. 50,000)","Economic Status - Middle Income (Rs. 50,001 to 1,00,000)","Economic Status - Middle Income (Rs. 1,00,001 to 2,00,000)","Economic Status - Upper Middle Income (Rs. 2,00,001 to 3,00,000)","Economic Status - Upper Income (Above Rs. 3,00,000)",Economic Status - Total,Recidivism - New Delinquent,Recidivism - Old Delinquent,Recidivism - Total
1,State,Andhra Pradesh,767,646,421,115,1949,1542,235,172,1949,1322,423,136,57,8,3,1949,1655,294,1949
2,State,Arunachal Pradesh,0,14,32,35,81,27,54,0,81,13,48,20,0,0,0,81,81,0,81
3,State,Assam,225,125,26,9,385,158,143,84,385,179,129,40,27,7,3,385,219,166,385
4,State,Bihar,241,188,263,50,742,476,149,117,742,397,259,64,17,3,2,742,611,131,742
5,State,Chhattisgarh,442,1073,739,102,2356,1893,430,33,2356,1663,550,126,17,0,0,2356,2026,330,2356
6,State,Goa,19,15,37,6,77,75,2,0,77,39,22,9,4,3,0,77,74,3,77
7,State,Gujarat,341,942,662,176,2121,1676,281,164,2121,1642,379,75,17,6,2,2121,1763,358,2121
8,State,Haryana,79,246,443,139,907,740,18,149,907,305,326,223,31,14,8,907,863,44,907
9,State,Himachal Pradesh,6,28,92,92,218,214,4,0,218,113,78,6,6,3,12,218,218,0,218
10,State,Jammu & Kashmir,2,7,15,3,27,26,1,0,27,9,10,6,2,0,0,27,27,0,27
11,State,Jharkhand,47,42,10,5,104,96,5,3,104,33,61,10,0,0,0,104,98,6,104
12,State,Karnataka,63,69,35,37,204,169,27,8,204,139,50,13,0,2,0,204,194,10,204
13,State,Kerala,38,178,348,262,826,764,55,7,826,422,245,115,36,8,0,826,794,32,826
14,State,Madhya Pradesh,1696,2296,1941,516,6449,5326,919,204,6449,4002,1685,578,172,11,1,6449,4849,1600,6449
15,State,Maharashtra,810,2492,2224,862,6388,5166,793,429,6388,4186,1254,603,213,119,13,6388,6120,268,6388
16,State,Manipur,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,State,Meghalaya,43,48,24,3,118,69,49,0,118,77,22,18,1,0,0,118,106,12,118
18,State,Mizoram,3,40,73,0,116,114,2,0,116,25,90,1,0,0,0,116,106,10,116
19,State,Nagaland,3,12,30,8,53,42,11,0,53,44,9,0,0,0,0,53,53,0,53
20,State,Odisha,195,145,164,40,544,443,73,28,544,447,66,29,2,0,0,544,536,8,544
21,State,Punjab,81,83,53,29,246,223,21,2,246,151,81,14,0,0,0,246,241,5,246
22,State,Rajasthan,322,817,960,279,2378,2170,165,43,2378,1290,683,279,90,27,9,2378,2174,204,2378
23,State,Sikkim,4,33,43,2,82,70,10,2,82,82,0,0,0,0,0,82,78,4,82
24,State,Tamil Nadu,445,696,455,48,1644,1226,302,116,1644,1374,223,44,3,0,0,1644,1522,122,1644
25,State,Tripura,35,6,5,0,46,46,0,0,46,32,11,3,0,0,0,46,46,0,46
26,State,Uttar Pradesh,166,278,308,100,852,741,98,13,852,269,251,197,109,22,4,852,852,0,852
27,State,Uttarakhand,51,71,31,1,154,110,2,42,154,21,63,30,24,16,0,154,154,0,154
28,State,West Bengal,30,119,153,35,337,197,122,18,337,140,117,78,1,1,0,337,327,10,337
State,State,Total (States),6154,10709,9587,2954,29404,23799,3971,1634,29404,18416,7135,2717,829,250,57,29404,25787,3617,29404
29,Union Territory,A & N Islands,1,19,5,1,26,17,9,0,26,17,7,2,0,0,0,26,23,3,26
30,Union Territory,Chandigarh,24,63,48,33,168,160,8,0,168,87,29,41,11,0,0,168,161,7,168
31,Union Territory,D & N Haveli,2,9,8,0,19,19,0,0,19,7,8,4,0,0,0,19,19,0,19
32,Union Territory,Daman & Diu,4,2,3,1,10,4,4,2,10,3,2,2,2,1,0,10,10,0,10
33,Union Territory,Delhi,154,235,204,34,627,504,87,36,627,408,122,70,18,6,3,627,580,47,627
34,Union Territory,Lakshadweep,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,Union Territory,Puducherry,0,49,0,0,49,46,3,0,49,42,7,0,0,0,0,49,49,0,49
Union Territory,Union Territory,Total (UTs),185,377,268,69,899,750,111,38,899,564,175,119,31,7,3,899,842,57,899
Total (All-India),Total (All-India),Total (All-India),6339,11086,9855,3023,30303,24549,4082,1672,30303,18980,7310,2836,860,257,60,30303,26629,3674,30303
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
