Sr. No.,Crime Head,Male,Female,Total,Percentage to Total - Male,Percentage to Total - Female
1,Murder (Sec.302 IPC),58668,3798,62466,93.9,6.1
2,Attempt to Commit Murder (Sec. 307 IPC),62788,2921,65709,95.6,4.4
3,"C.H. not Amounting Murder (Sec. 304, 308 IPC)",6983,196,7179,97.3,2.7
4,Rape (Sec. 376 IPC) - Total,26357,717,27074,97.4,2.6
4,Rape (Sec. 376 IPC) - (i) Custodial Rape,10,0,10,100,0
4,Rape (Sec. 376 IPC) - (ii) Other Rape,26347,717,27064,97.4,2.6
5,"Kidnapping & Abduction (Sec. 363-369,371-373 IPC) - Total",43149,2349,45498,94.8,5.2
5,"Kidnapping & Abduction (Sec. 363-369,371-373 IPC) - (i) of Women & Girls",32231,2019,34250,94.1,5.9
5,"Kidnapping & Abduction (Sec. 363-369,371-373 IPC) - (ii) of Others",10918,330,11248,97.1,2.9
6,Dacoity (Sec. 395-398 IPC),17096,225,17321,98.7,1.3
7,Preparation & Assembly for Dacoity (Sec. 399-402 IPC),10381,30,10411,99.7,0.3
8,"Robbery (Sec. 392-394,397,398 IPC)",34827,301,35128,99.1,0.9
9,"Burglary (Sec. 449-452,454,455,457-460 IPC)",66831,1461,68292,97.9,2.1
10,Theft (Sec. 379-382 IPC) - Total,187873,6193,194066,96.8,3.2
10,Theft (Sec. 379-382 IPC) - (i) Auto Theft,54357,231,54588,99.6,0.4
10,Theft (Sec. 379-382 IPC) - (ii) Other Theft,133516,5962,139478,95.7,4.3
11,"Riots (Sec. 143-145,147-151,153,153A,153B,157,158,160 IPC)",301727,17188,318915,94.6,5.4
12,Criminal Breach of Trust (Sec. 406-409 IPC),19754,684,20438,96.7,3.3
13,"Cheating (Sec. 419,420 IPC)",73918,3844,77762,95.1,4.9
14,"Counterfeiting (Sec. 231-254,489A-489D IPC)",2189,43,2232,98.1,1.9
15,"Arson (Sec. 435,436,438 IPC)",10379,288,10667,97.3,2.7
16,"Hurt (Sec. 323-333,335-338 IPC)",464903,34875,499778,93,7
17,Dowry Deaths (Sec. 304B IPC),18343,4937,23280,78.8,21.2
18,Molestation (Sec. 354 IPC),48467,1557,50024,96.9,3.1
19,Sexual Harassment (Sec. 509 IPC),10198,206,10404,98,2
20,Cruelty by Husband and Relatives (Sec. 498A IPC),139334,41079,180413,77.2,22.8
21,Importation of Girls (Sec. 366B IPC),70,11,81,86.4,13.6
22,Death Due to Negligence (304A IPC),87743,327,88070,99.6,0.4
23,Other IPC Crimes,1073445,58469,1131914,94.8,5.2
Total Cognizable Crimes Under IPC,Total Cognizable Crimes Under IPC,2765423,181699,2947122,93.8,6.2
