Sr. No.,Crime Head,2009,2010,Percentage Variation in 2010 Over 2009,Percentage Share of Arrestees Under Each Crime During 2010
1,Murder (Sec.302 IPC),62665,62466,-0.3,2.1
2,Attempt to Commit Murder (Sec. 307 IPC),64185,65709,2.4,2.2
3,"C.H. not Amounting Murder (Sec. 304, 308 IPC)",6479,7179,10.8,0.2
4,Rape (Sec. 376 IPC) - Total,25845,27074,4.8,0.9
4,Rape (Sec. 376 IPC) - (i) Custodial Rape,7,10,42.9,0
4,Rape (Sec. 376 IPC) - (ii) Other Rape,25838,27064,4.7,0.9
5,"Kidnapping & Abduction (Sec. 363-369,371-373 IPC) - Total",41753,45498,9,1.5
5,"Kidnapping & Abduction (Sec. 363-369,371-373 IPC) - (i) of Women & Girls",30526,34250,12.2,1.2
5,"Kidnapping & Abduction (Sec. 363-369,371-373 IPC) - (ii) of Others",11227,11248,0.2,0.4
6,Dacoity (Sec. 395-398 IPC),17506,17321,-1.1,0.6
7,Preparation & Assembly For Dacoity (Sec. 399-402 IPC),11065,10411,-5.9,0.4
8,"Robbery (Sec. 392-394,397,398 IPC)",33259,35128,5.6,1.2
9,"Burglary (Sec. 449-452,454,455,457-460 IPC)",68455,68292,-0.2,2.3
10,Theft (Sec. 379-382 IPC) - Total,194348,194066,-0.1,6.6
10,Theft (Sec. 379-382 IPC) - (i) Auto Theft,53908,54588,1.3,1.9
10,Theft (Sec. 379-382 IPC) - (ii) Other Theft,140440,139478,-0.7,4.7
11,"Riots (Sec. 143-145,147-151,153,153A,153B,157,158,160 IPC)",303602,318915,5,10.8
12,Criminal Breach of Trust (Sec. 406-409 IPC),19595,20438,4.3,0.7
13,"Cheating (Sec. 419,420 IPC)",67836,77762,14.6,2.6
14,"Counterfeiting (Sec. 231-254,489A-489D IPC)",3007,2232,-25.8,0.1
15,"Arson (Sec. 435,436,438 IPC)",11486,10667,-7.1,0.4
16,"Hurt (Sec. 323-333,335-338 IPC)",493365,499778,1.3,17
17,Dowry Deaths (Sec. 304B IPC),23374,23280,-0.4,0.8
18,Molestation (Sec. 354 IPC),47856,50024,4.5,1.7
19,Sexual Harassment (Sec. 509 IPC),14368,10404,-27.6,0.4
20,Cruelty by Husband and Relatives (Sec. 498A IPC),174395,180413,3.5,6.1
21,Importation of Girls (Sec. 366B IPC),49,81,65.3,0
22,Death Due to Negligence (304A IPC),82230,88070,7.1,3
23,Other IPC Crimes,1082302,1131914,4.6,38.4
Total Cognizable Crimes Under IPC,Total Cognizable Crimes Under IPC,2849025,2947122,3.4,100
