Sr. No.,Category,States/ UTs,2008,2009,2010,Percentage Variation in - 2009 over 2008,Percentage Variation in - 2010 over 2009
1,State,Andhra Pradesh,4,12,3,200,-75
2,State,Arunachal Pradesh,0,0,0,NA,NA
3,State,Assam,10,4,1,-60,-75
4,State,Bihar,3,33,2,1000,-93.9
5,State,Chhattisgarh,2,2,5,0,150
6,State,Goa,3,0,2,-100,NA
7,State,Gujarat,1,3,0,200,-100
8,State,Haryana,7,7,6,0,-14.3
9,State,Himachal Pradesh,0,1,0,NA,-100
10,State,Jammu & Kashmir,0,0,1,NA,NA
11,State,Jharkhand,5,1,0,-80,-100
12,State,Karnataka,3,6,6,100,0
13,State,Kerala,4,2,2,-50,0
14,State,Madhya Pradesh,5,21,6,320,-71.4
15,State,Maharashtra,19,17,35,-10.5,105.9
16,State,Manipur,0,0,0,NA,NA
17,State,Meghalaya,0,0,0,NA,NA
18,State,Mizoram,0,0,0,NA,NA
19,State,Nagaland,0,0,0,NA,NA
20,State,Odisha,1,0,0,-100,NA
21,State,Punjab,6,14,11,133.3,-21.4
22,State,Rajasthan,15,5,10,-66.7,100
23,State,Sikkim,0,0,0,NA,NA
24,State,Tamil Nadu,9,7,29,-22.2,314.3
25,State,Tripura,0,0,0,NA,NA
26,State,Uttar Pradesh,24,24,23,0,-4.2
27,State,Uttarakhand,22,15,4,-31.8,-73.3
28,State,West Bengal,2,1,2,-50,100
State,State,Total (States),145,175,148,20.7,-15.4
29,Union Territory,A & N Islands,0,0,0,NA,NA
30,Union Territory,Chandigarh,0,0,0,NA,NA
31,Union Territory,D & N Haveli,0,0,0,NA,NA
32,Union Territory,Daman & Diu,0,0,0,NA,NA
33,Union Territory,Delhi,0,0,0,NA,NA
34,Union Territory,Lakshadweep,0,0,0,NA,NA
35,Union Territory,Puducherry,0,0,0,NA,NA
Union Territory,Union Territory,Total (UTs),0,0,0,NA,NA
Total (All-India),Total (All-India),Total (All-India),145,175,148,20.7,-15.4
