SL. No. (Col. 1),Heads of Crime (Col. 2),Total Number of Cases for Investigation During the Year Including Cases Carried Over from Previous Year (Col. 3),Number of Cases in which Investigation was Refused or Declared False or Mistake of Facts or Law or Found Non Cognizable (Col. 4),Number of Cases Other than Shown in Column 4 in which Investigation was Completed (Col. 5),Number of Cases in which Chargesheets were Laid (Col. 6),Number of Cases which Could not be Sent for Trial for Want of Evidence (Col. 7),Number of Cases Pending Investigation at the End of the Year (Col. 8)
1,Murder,34398,1072,22902,18402,4500,10424
2,Culpable Homicide Not Amounting to Murder,5153,222,3574,2572,1002,1357
3,Rape,8047,638,5320,4600,720,2089
4,Kidnapping and Abduction,18918,3831,9909,6949,2960,5178
5,Dacoity,19953,1100,11700,7037,4663,7153
6,Robbery,27382,3143,18200,10646,7554,6039
7,Burglary,167068,9105,131355,50794,80561,26608
8,Theft,422761,26196,329219,130777,198442,67346
9,Riots,140883,17053,88515,75409,13106,35315
10,Criminal Breach of Trust,33026,3427,15733,10622,5111,13866
11,Cheating,31049,3343,15303,9869,5434,12403
12,Counterfeiting,1689,209,685,214,471,795
13,Other IPC Offences,729572,57989,566343,492229,74205,105149
14,Total Cognizable Crimes Under IPC,1639899,127328,1218849,820120,398729,293722
