SL. No.,Years,7-12 Years,7-12 Year - Percentage to Total,12-16 Years,12-16 Year - Percentage to Total,16-18 Years,16-18 Year - Percentage to Total,18-21 Years,18-21 Year - Percentage to Total,Overall Age Groups
1,1973,9963,7.8,16470,12.9,23951,18.7,77358,60.6,127742
2,1974,8872,6.3,19644,14,22077,15.7,90046,64,140639
3,1975,14781,10.4,23118,16.3,20866,14.7,83134,58.6,141899
4,1976,19706,14.7,24073,18,19960,14.9,70234,52.4,133973
5,1977,15113,10.1,21391,14.4,24011,16.1,88407,59.4,148922
6,1978,11955,7.4,18954,11.8,25488,15.8,104522,65,160919
7,1979,10539,6.2,18315,10.8,26226,15.4,114963,67.6,170043
8,1980,10457,5.6,20048,10.7,36899,19.7,120181,64,187585
9,1981,9485,5,17649,9.3,33969,17.8,129464,67.9,190567
10,1982,8272,4.9,15218,9.1,25618,15.2,119229,70.8,168337
11,1983,8290,4.8,16949,9.9,26153,15.2,120222,70.1,171614
Percentage Change in 1983 Over 1973,Percentage Change in 1983 Over 1973,-16.8,NA,2.9,NA,9.2,NA,55.4,NA,34.3
Percentage Change in 1983 Over 1982,Percentage Change in 1983 Over 1982,0.2,NA,11.4,NA,2.1,NA,0.8,NA,1.9
