SL. No.,Head of Crime,Percentage of Cases Compounded or withdrawn to Total Cases for Trial,Percentage of Cases in which Trials were Completed to Total Cases for Trial,Percentage of Cases Pending Trial at the End of the Year to Total Cases for Trial,Percentage of Cases Ended in Conviction to Total Cases for which Trials were Completed
1,Murder,0.6,25.8,73.6,49.4
2,Culpable Homicide Not Amounting to Murder,0.9,26.1,73,43
3,Rape,0.6,26.7,72.7,37.7
4,Kidnapping & Abduction,1.4,21.5,77.1,32.6
5,Dacoity,0.2,19.2,80.6,37.5
6,Robbery,0.9,21.1,78,40.9
7,Burglary,2.5,25.4,72.1,51.4
8,Thefts,3.4,25.2,71.4,60.5
9,Riots,5,18.3,76.7,40.9
10,Criminal Breach of Trust,1.8,16.5,81.7,44.5
11,Cheating,3,17.2,79.8,46.5
12,Counterfeiting,1.7,26.7,71.6,43.2
13,Other IPC Offences,6.9,22,71.1,47.4
14,Total Cognizable Crime,5.2,22.2,72.6,49.2
