SL. No.,Heads of Crime,Percentage of Cases not Investigated or Mistake of Fact or Law Non Cognizable to Total Cases for Investigation,Percentage of Cases in which Investigation was Completed to Total Cases for Investigation,Percentage of Cases Pending Investigation at the End of the Year to Total Cases for Investigation,Percentage of Cases Chargesheeted to Total Cases in which Investigation was Completed
1,Arms Act,0.4,88.6,11,97.7
2,Opium Act,0.2,68.6,31.2,98
3,Gambling Act,Negligible,97.2,2.8,99.8
4,Excise Act,0.5,84,15.5,99.3
5,Prohibition Act,4.1,47.5,48.4,83.9
6,Explosive & Explosive Substances Act,2.4,57.8,39.8,72.4
7,Suppression of Immoral Traffic Act,0.1,92.7,7.2,99.9
8,Motor Vehicles Act,0.3,97.8,1.9,98.5
9,Prevention of Corruption Act,3.2,38.1,58.7,90.2
10,Customs Act,51.1,42.1,6.8,94.6
11,Indian Railways Act,0.4,98.1,1.5,97.7
12,Other Offences,2.8,92.8,4.4,99.2
13,Total,1.9,83.7,14.4,97
