SL. No.,Crime Heads,Total number of persons in custody or on bail during the stage of investigation including persons under arrest carried over from previous year,Total number of persons in custody or on bail during the stage of investigation at the end of the year,Persons in whose cases chargesheet were laid during the year,Percentage of persons in custody or on bail during the stage of investigation pending at the end of the year to total persons in custody or on bail during the stage of investigation,Percentage of persons in whose cases chargesheets were laid to total persons under custody or on bail during the stage of investigation
1,Murder,76229,17080,55513,22.4,72.8
2,Culpable Homicide Not Amounting to Murder,9089,1825,6547,20.1,72
3,Rape,10716,2336,7598,21.8,70.9
4,Kidnapping & Abduction,22755,4913,15039,21.6,66.1
5,Dacoity,63345,15948,35121,25.2,55.4
6,Robbery,32680,6105,22046,18.7,67.5
7,Burglary,116015,14825,89962,12.8,77.5
8,Theft,274793,34888,192227,12.7,70
9,Riots,707509,146122,500205,20.7,70.7
10,Criminal Breach of Trust,24520,8607,14176,35.1,57.8
11,Cheating,23385,7074,14519,30.3,62.1
12,Counterfeiting,1163,541,413,46.5,35.5
13,Total Cognizable Crime Under IPC,2443350,364213,1855058,14.9,75.9
