SL. No.,Heads of Crime,"Percentage of Cases not Investigated Mistake of Fact or Law, Non Cognizable to Total Cases for Investigation",Percentage of Cases in which Investigation was Completed to Total Cases for Investigation,Percentage of Cases Pending Investigation at the End of the Year to Total Cases for Investigation,Percentage of Cases Chargesheeted to Total Cases in which Investigation was Completed
1,Murder,3.1,66.6,30.3,80.4
2,Culpable Homicide Not Amounting to Murder,4.3,69.4,26.3,72
3,Rape,7.9,66.1,26,86.5
4,Kidnapping & Abduction,20.2,52.4,27.4,70.1
5,Dacoity,5.5,58.6,35.9,60.1
6,Robbery,11.5,66.5,22,58.5
7,Burglary,5.5,78.6,15.9,38.7
8,Thefts,6.2,77.9,15.9,39.7
9,Riots,12.1,62.8,25.1,85.2
10,Criminal Breach of Trust,10.4,47.6,42,67.5
11,Cheating,10.8,49.3,39.9,64.5
12,Counterfeiting,12.4,40.5,47.1,31.2
13,Other IPC Offences,8,77.6,14.4,86.9
14,Total Cognizable Crimes Under IPC,7.8,74.3,17.9,67.3
