SL. No. (Col. 1),Head of Crime (Col. 2),Total Number of Cases for Investigation During the Year Including the Cases Carried over from Previous Year (Col. 3),Number of Cases in which Investigation was Refused or Declared False or Mistake of Facts or Law or Found Non Cognizable (Col. 4),Number of Cases Other than Shown in Column 4 in which Investigation was Completed (Col. 5),Number of Cases in which Chargesheets were Laid (Col. 6),Number of Cases in which Could not be Sent for Trial for Want of Evidence (Col. 7),Number of Cases Pending Investigation at the End of the Year (Col. 8)
1,Arms Act,72917,279,64630,63131,1499,8008
2,Opium Act,21669,42,14873,14579,294,6754
3,Gambling Act,197329,35,191732,191426,306,5562
4,Excise Act,139707,715,117376,116549,827,21616
5,Prohibition Act,770151,31291,366092,307044,59048,372768
6,Explosive & Explosive Substances Act,5610,136,3242,2347,895,2232
7,Suppression of Immoral Traffic Act,15649,9,14511,14492,19,1129
8,Motor Vehicles Act,1011898,2565,990132,975745,14387,19201
9,Prevention of Corruption Act,617,20,235,212,23,362
10,Customs Act,176,90,74,70,4,12
11,Indian Railways Act,49388,221,48555,47363,1092,712
12,Other Offences,1102958,30894,1023919,1015942,7977,48145
13,Total of Local and Special Laws,3388069,66297,2835271,2748900,86371,486501
