SL. No.,Heads of Crime,Total Number of Cases for Trial During the Year Including Cases Carried over from Previous Year,Number of Cases Compounded or Withdrawn During the Year,Number of Cases in which Trials Were Completed During the Year,Number of Cases Ended in Conviction During the Year,Number of Cases Pending Trial at the End of the Year
1,Murder,56516,320,14567,7193,41629
2,Culpable Homicide Not Amounting to Murder,8162,75,2126,915,5961
3,Rape,13485,85,3601,1359,9799
4,Kidnapping & Abduction,26280,371,5658,1843,20251
5,Dacoity,35386,88,6791,2547,28507
6,Robbery,42978,383,9056,3706,33539
7,Burglary,182771,4571,46453,23867,131747
8,Thefts,437471,14970,110255,66747,312246
9,Riots,287774,14479,52758,21588,220537
10,Criminal Breach of Trust,49552,908,8165,3637,40479
11,Cheating,37422,1114,6436,2991,29872
12,Counterfeiting,580,10,155,67,415
13,Other IPC Offences,1312951,91072,289100,136900,932779
14,Total Cognizable Crimes Under IPC,2491328,128446,555121,273360,1807761
