SL. No.,Heads of Crime,Number of Cases Reported During - 1978,Number of Cases Reported During - 1979,Number of Cases Reported During - 1980,Number of Cases Reported During - 1981,Number of Cases Reported During - 1982,Quinquennial average 1978 to 1982,Cases reported during 1983,Percentage Change in 1983 Over - Quinquennial Average,Percentage Change in 1983 Over - 1982
1,Total IPC Cognizable Crimes,44284,46351,55129,61019,59345,55226,55473,0.4,-6.5
2,Murder,718,812,1038,1228,1289,1017,1257,23.6,-2.5
3,Culpable Homicide Not Amounting to Murder,89,92,89,92,72,87,84,-3.4,16.7
4,Rape,287,312,459,438,441,387,454,17.3,2.9
5,Kidnapping & Abduction,597,493,482,527,612,542,665,22.7,8.7
6,Dacoity,288,359,455,613,651,473,548,15.8,-15.8
7,Robbery,741,743,941,1057,982,893,991,11,0.9
8,Burglary,6218,6275,6434,6720,6214,6372,5795,-9.1,-6.8
9,Theft,14148,15376,17093,17516,14029,15632,13531,-13.4,-3.6
10,Riots,5049,6195,8384,9979,10906,8103,8795,8.5,-19.4
11,Criminal Breach of Trust,244,224,287,272,226,251,226,-10,Nil
12,Cheating,292,259,292,285,330,291,281,-3.4,-14.8
13,Counterfeiting,3,2,2,15,3,5,18,260,500
14,Miscellaneous (Other than those included above),15610,15209,19173,22277,23590,21173,22828,7.8,-3.2
