SI.No,Crime Head,1989,1994,1995,1996,1997,1998,Quinquennial Avg. (1994-98) (q.a),1999,Percentage Change in 1999 [(+)Increase (-) Decrease ]Over - 1989,Percentage Change in 1999 [(+)Increase (-) Decrease ]Over - Q.A,Percentage Change in 1999 [(+)Increase (-) Decrease ]Over - 1998
1,Murder,496,288,253,270,316,253,276,250,-49.6,-1.2,-1.2
2,Attempt to Commit Murder,255,166,208,202,147,163,177,179,-29.8,9.8,9.8
3,C.H. Not Amounting To Murder,52,19,23,21,25,22,22,21,-59.6,-4.5,-4.5
4,Rape,263,176,174,157,163,199,174,159,-39.5,-20.1,-20.1
5,Kidnapping & Abduction,179,95,152,132,72,153,121,83,-53.6,-45.8,-45.8
5,I) of Women & Girls,142,51,66,43,48,134,68,66,-53.5,-50.7,-50.7
5,II) of Others,37,44,86,89,24,19,52,17,-54.1,-10.5,-10.5
6,Dacoity,136,32,56,44,20,35,37,25,-81.6,-28.6,-28.6
7,Preparation & Assembly for Dacoity,15,23,3,0,1,2,6,2,-86.7,0,0
8,Robbery,258,49,76,87,50,52,63,68,-73.6,30.8,30.8
9,Burglary,2131,1294,1285,1315,1162,1294,1270,1344,-36.9,3.9,3.9
10,Theft,4470,2346,2835,2356,1975,2143,2331,2172,-51.4,1.4,1.4
10,I) Auto Theft,*,*,*,*,*,*,*,158,NA,NA,NA
10,II) Other Theft,*,*,*,*,*,*,*,2010,NA,NA,NA
11,Riots,1916,637,955,856,513,574,707,509,-73.4,-11.3,-11.3
12,Criminal Breach of Trust,47,17,33,18,16,19,21,13,-72.3,-31.6,-31.6
13,Cheating,78,24,54,60,43,32,43,31,-60.3,-3.1,-3.1
14,Counterfeiting,4,3,1,0,1,0,1,7,75,NA,0
15,Arson,*,*,8,33,40,24,#,40,NA,66.7,66.7
16,Hurt,*,*,791,1395,1242,1645,#,1472,NA,-10.5,-10.5
17,Dowry Deaths,*,*,27,42,49,77,#,52,NA,-32.5,-32.5
18,Molestation,*,*,86,117,131,136,#,116,NA,-14.7,-14.7
19,Sexual Harassment,*,*,27,13,25,37,#,27,NA,-27,-27
20,Cruelty by Husband and Relatives,*,*,192,166,154,249,#,273,NA,9.6,9.6
21,Importation of Girls,*,*,*,*,*,*,#,0,NA,NA,NA
22,Other IPC Crimes,8157,3392,2527,2740,1764,2243,2533,2045,-74.9,-8.8,-8.8
23,Total Cognizable Crimes Under IPC,18457,8561,9766,10024,7909,9352,9122,8888,-51.8,-5,-5
