SI.No. (1),States/UT/City/(2),Total No. of Persons Arrested (3),New Offenders - No. (3),New Offenders - Percentage to Total (5),Old Offenders Convicted in the Past - Once - No. (6),Old Offenders Convicted in the Past - Once - Percentage Total (7),Old Offenders Convicted in the Past - Twice - No. (8),Old Offenders Convicted in the Past - Twice - Percentage Total (9),Old Offenders Convicted in the Past - Thrice or More - No.  (10),Old Offenders Convicted in the Past - Thrice or More - Percentage Total (11),Old Offenders Convicted in the Past - Percentage of Recidivists[ (7)+(9)+(11)] (12)
1,Andhra Pradesh,184758,163789,88.7,17791,9.6,2674,1.4,504,0.3,11.3
2,Arunachal Pradesh,3001,2805,93.5,160,5.3,24,0.8,12,0.4,6.5
3,Assam,53215,42230,79.4,9471,17.8,1389,2.6,125,0.2,20.6
4,Bihar,207761,193691,93.2,12548,6,1256,0.6,266,0.1,6.8
5,Goa,3201,3173,99.1,15,0.5,9,0.3,4,0.1,0.9
6,Gujarat,176261,164741,93.5,10828,6.1,422,0.2,270,0.2,6.5
7,Haryana,62483,53335,85.4,7310,11.7,1275,2,563,0.9,14.6
8,Himachal Pradesh,16143,15434,95.6,589,3.6,108,0.7,12,0.1,4.4
9,Jammu & Kashmir,26584,26409,99.3,175,0.7,0,0,0,0,0.7
10,Karnataka,154369,147388,95.5,6723,4.4,155,0.1,103,0.1,4.5
11,Kerala,142512,136618,95.9,3601,2.5,1860,1.3,433,0.3,4.1
12,Madhya Pradesh,312758,283523,90.7,22991,7.4,5074,1.6,1170,0.4,9.3
13,Maharashtra,254181,247051,97.2,5394,2.1,1097,0.4,639,0.3,2.8
14,Manipur,1249,1249,100,0,0,0,0,0,0,0
15,Meghalaya,2045,1561,76.3,312,15.3,122,6,50,2.4,23.7
16,Mizoram,2097,1980,94.4,47,2.2,48,2.3,22,1,5.6
17,Nagaland,1088,1060,97.4,13,1.2,14,1.3,1,0.1,2.6
18,Orissa,74562,69800,93.6,4248,5.7,432,0.6,82,0.1,6.4
19,Punjab,31620,24672,78,4509,14.3,2374,7.5,65,0.2,22
20,Rajasthan,224656,192779,85.8,27310,12.2,3523,1.6,1044,0.5,14.2
21,Sikkim,1413,1403,99.3,4,0.3,4,0.3,2,0.1,0.7
22,Tamil Nadu,202294,168970,83.5,21613,10.7,9262,4.6,2449,1.2,16.5
23,Tripura,3853,3100,80.5,620,16.1,103,2.7,30,0.8,19.5
24,Uttar Pradesh,299059,289574,96.8,6899,2.3,2135,0.7,451,0.2,3.2
25,West Bengal,102039,93609,91.7,6294,6.2,1546,1.5,590,0.6,8.3
Total States,Total States,2543202,2329944,91.6,169465,6.7,34906,1.4,8887,0.3,8.4
26,A & N Islands,669,547,81.8,80,12,24,3.6,18,2.7,18.2
27,Chandigarh,3285,2872,87.4,405,12.3,4,0.1,4,0.1,12.6
28,D & N Haveli,789,789,100,0,0,0,0,0,0,0
29,Daman & DIU,320,320,100,0,0,0,0,0,0,0
30,Delhi,47702,43849,91.9,2211,4.6,994,2.1,648,1.4,8.1
31,Lakshadweep,23,23,100,0,0,0,0,0,0,0
32,Pondicherry,4886,3571,73.1,1086,22.2,187,3.8,42,0.9,26.9
Total (UTs),Total (UTs),57674,51971,90.1,3782,6.6,1209,2.1,712,1.2,9.9
Total (All-India),Total (All-India),2600876,2381915,91.6,173247,6.7,36115,1.4,9599,0.4,8.4
33,Ahmedabad,16918,13495,79.8,3215,19,111,0.7,97,0.6,20.2
34,Bangalore,14244,14033,98.5,156,1.1,35,0.2,20,0.1,1.5
35,Bhopal,11657,7517,64.5,3324,28.5,592,5.1,224,1.9,35.5
36,Calcutta,7399,7028,95,329,4.4,37,0.5,5,0.1,5
37,Chennai,6906,5965,86.4,522,7.6,295,4.3,124,1.8,13.6
38,Coimbatore,4121,4028,97.7,41,1,30,0.7,22,0.5,2.3
39,Delhi,41204,37654,91.4,2012,4.9,903,2.2,635,1.5,8.6
40,Hyderabad,9271,4421,47.7,3975,42.9,690,7.4,185,2,52.3
41,Indore,8945,7708,86.2,745,8.3,395,4.4,97,1.1,13.8
42,Jaipur,11961,10641,89,1140,9.5,130,1.1,50,0.4,11
43,Kanpur,9797,9702,99,67,0.7,20,0.2,8,0.1,1
44,Kochi,6170,6118,99.2,51,0.8,0,0,1,0,0.8
45,Lucknow,7017,6929,98.7,73,1,9,0.1,6,0.1,1.3
46,Ludhiana,2295,2295,100,0,0,0,0,0,0,0
47,Madurai,5106,4320,84.6,714,14,54,1.1,18,0.4,15.4
48,Mumbai,27584,26441,95.9,670,2.4,228,0.8,245,0.9,4.1
49,Nagpur,8460,8344,98.6,76,0.9,29,0.3,11,0.1,1.4
50,Patna,13821,13545,98,246,1.8,27,0.2,3,0,2
51,Pune,12250,12186,99.5,37,0.3,9,0.1,18,0.1,0.5
52,Surat,5893,5853,99.3,33,0.6,5,0.1,2,0,0.7
53,Vadodra,6761,6501,96.2,259,3.8,1,0,0,0,3.8
54,Varanasi,2123,2065,97.3,38,1.8,17,0.8,3,0.1,2.7
55,Vishakhapatnam,3556,2780,78.2,684,19.2,64,1.8,28,0.8,21.8
Total Cities,Total Cities,243459,219569,90.2,18407,7.6,3681,1.5,1802,0.7,9.8
