SI.No,Crime Head,Male,Female,Total,Percentage to Total - Male,Percentage to Total - Female
1,Murder,73842,3492,77334,95.5,4.5
2,Attempt to Commit Murder,71024,2046,73070,97.2,2.8
3,C.H. Not Amounting To Murder,7018,186,7204,97.4,2.6
4,Rape,19865,448,20313,97.8,2.2
5,Kidnapping & Abduction,28788,1595,30383,94.8,5.2
5,I)of Woman & Girls,17597,1362,18959,92.8,7.2
5,II)of Others,11191,233,11424,98,2
6,Dacoity,23230,91,23321,99.6,0.4
7,Preparation & Assembly for Dacoity,7252,9,7261,99.9,0.1
8,Robbery,29562,153,29715,99.5,0.5
9,Burglary,69200,989,70189,98.6,1.4
10,Theft,166028,4332,170360,97.5,2.5
10,I) Auto Theft,27154,95,27249,99.7,0.3
10,II) Other Theft,138815,4232,143047,97,3
11,Riots,375673,21393,397066,94.6,5.4
12,Criminal Breach of Trust,14845,422,15267,97.2,2.8
13,Cheating,35724,1222,36946,96.7,3.3
14,Counterfeiting,1521,51,1572,96.8,3.2
15,Arson,13363,256,13619,98.1,1.9
16,Hurt,419127,26700,445827,94,6
17,Dowry Deaths,13233,4072,17305,76.5,23.5
18,Molestation,40347,468,40815,98.9,1.1
19,Sexual Harassment,10443,37,10480,99.6,0.4
20,Cruelty by Husband and Relatives,78519,23111,101630,77.3,22.7
21,Importation of Girls,3,0,3,100,0
22,Other IPC Crimes,956613,54583,1011196,94.6,5.4
23,Total Cognizable Crimes Under IPC,2455220,145656,2600876,94.4,5.6
