SI.No.,States/UT/City,Pending investigation from previous year,Cases regd. During The year,Total cases for investigation,Cases investigated,Cases not Investigated or investigation dropped,Cases Transferred to local police,Cases Declared False Etc. during year,Cases Charge Sheeted,Cases pending for Dept.Sanction for prose Cution,Cases sent up for trials and also Reported for dept. Action,Cases Reported for Regular Departmental Action,Cases Reported for Suitable Action,Case In which Charge Sheet not Laid but Final Report Submitted,Cases Pending investigation at the end of Year,Cases Reslted inrecovery or Seizure,Value of Property Recovered/seized (in Rs. 000),Percentage of Cases charge sheeted to total cases investigated,Cases Pending trial from the Previous year,Cases sent up for trial during the year,Total Cases for trial,Cases withdrawn/Discharged or other wise disposed of,Trials Completed during the year,Cases Convicted,Cases Acquited or Discharged,Pending Trial at the end of the year,Percentage of cases Convicted to trials Completed,Total Amount of fine imposed during the year (in Rs. 000)
1,Andhra Pradesh,305,218,523,225,7,0,0,80,19,3,20,0,41,291,147,498.4,35.6,474,80,554,8,131,21,110,415,16,86
2,Arunachal Pradesh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,Assam,28,3,31,31,0,0,3,3,11,3,0,0,3,14,0,0,9.7,18,3,21,0,0,0,0,21,0,0
4,Bihar,186,39,225,225,0,0,0,8,39,8,0,0,0,0,13,2079,3.6,364,8,372,0,7,4,3,365,57.1,125.5
5,Goa,9,3,12,12,0,0,2,4,2,1,0,0,0,6,0,0,33.3,11,4,15,0,0,0,0,15,0,0
6,Gujarat,186,218,404,227,0,0,3,217,63,0,5,0,7,187,207,443.1,95.6,1366,217,1583,0,174,38,136,1409,21.8,102.9
7,Haryana,119,65,184,100,40,0,1,66,8,44,0,0,11,102,3,5,66,315,66,381,26,49,13,36,306,26.5,38.5
8,Himachal Pradesh,148,46,194,194,0,0,20,33,40,0,3,0,20,141,4,4,17,48,33,81,0,22,1,21,59,4.5,3
9,Jammu & Kashmir,428,174,602,173,0,0,0,81,48,45,45,0,81,439,8,7.1,46.8,317,81,398,0,42,6,36,356,14.3,92.5
10,Karnataka,290,211,501,501,2,1,39,200,110,200,0,0,42,259,63,96497.8,39.9,584,200,784,1,92,8,84,692,8.7,23.7
11,Kerala,389,161,550,550,0,0,18,99,29,0,10,0,0,394,0,0,18,113,99,212,0,38,21,17,174,55.3,667
12,Madhya Pradesh,390,144,534,534,0,0,0,126,177,1,2,5,34,374,14,53573.3,23.6,660,126,786,8,206,80,118,580,38.8,1839
13,Maharashtra,498,445,943,943,2,1,2,414,222,1,15,0,78,522,210,273.7,43.9,1725,414,2139,5,134,37,97,2000,27.6,76.1
14,Manipur,10,5,15,15,0,0,0,1,0,0,0,0,1,13,0,0,6.7,14,1,15,0,0,0,0,15,0,0
15,Meghalaya,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0
16,Mizoram,1,2,3,3,0,0,0,0,0,0,0,0,0,3,0,0,0,6,0,6,0,1,0,1,5,0,0
17,Nagaland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,Orissa,474,240,714,714,2,0,9,243,37,238,11,0,38,403,100,17911.7,34,1288,243,1531,2,45,9,36,1484,20,0
19,Punjab,566,208,774,377,1,29,4,316,2,0,0,27,397,0,0,0,83.8,674,316,990,0,174,16,158,816,9.2,24.2
20,Rajasthan,702,331,1033,1033,0,0,11,121,197,0,0,0,44,820,119,428.8,11.7,826,121,947,0,251,61,190,696,24.3,1148.7
21,Sikkim,33,10,43,43,0,0,0,5,0,0,0,0,3,35,0,0,11.6,25,5,30,5,6,3,3,19,50,0
22,Tamil Nadu,140,32,172,172,7,0,0,9,9,0,27,1,20,113,0,0,5.2,134,9,143,0,5,4,1,138,80,135
23,Tripura,63,15,78,78,0,0,0,26,0,0,0,26,12,40,0,0,33.3,0,26,26,12,0,0,0,0,0,0
24,Uttar Pradesh,66,66,132,76,2,0,1,29,30,6,0,0,7,76,1,4,38.2,134,28,167,1,8,0,8,121,0,0
25,West Bengal,25,3,28,28,0,0,0,4,0,3,0,0,0,25,2,4.8,14.3,17,3,20,0,0,0,0,20,0,0
Total States,Total States,5056,2639,7695,6254,63,31,113,2085,1043,553,138,59,839,4257,891,171730.8,33.3,9114,2083,11202,68,1386,322,1056,9706,23.2,4362
26,A & N Islands,0,1,1,1,0,0,0,0,0,0,1,1,0,1,2,3,NA,0,0,0,0,0,0,0,0,NA,0
27,Chandigarh,9,1,10,10,0,0,0,8,0,0,0,0,1,2,0,0,80,1,8,9,0,0,0,0,9,0,0
28,D & N Haveli,1,2,3,3,0,0,0,1,0,0,0,0,0,2,1,10,33.3,2,1,3,0,0,0,3,0,0,0
29,Daman & DIU,0,2,2,2,0,0,0,0,1,0,0,2,0,2,2,12619.9,0,0,0,0,0,0,0,0,0,0,0
30,Delhi,139,51,190,190,0,0,0,99,11,3,18,10,0,91,38,341.1,52.1,247,99,346,3,39,4,35,304,10.3,24
31,Lakshadweep,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,Pondicherry,5,0,5,5,0,0,0,0,1,0,0,0,0,5,0,0,0,7,0,7,0,0,0,0,7,0,0
Total (UTs),Total (UTs),154,57,211,211,0,0,0,108,13,3,19,13,1,103,43,12973.9,51.2,257,108,365,3,39,4,38,320,10.3,24
Total (All-India),Total (All-India),5210,2696,7906,6465,63,31,113,2193,1056,556,157,72,840,4360,934,184704.7,33.9,9371,2191,11567,71,1425,326,1094,10026,22.9,4386
