SI.No.,Crime_Head,All-India - Incidence,All-india - Rate,State/UT With the highest - Incidence,State/UT With the highest - Rate
1,Arms Act,60607,10.9,Uttar Pradesh (34702),Uttar Pradesh (20.7)
2,N.D.P.S.Act,20132,2,Uttar Pradesh (9238),Punjab (7.4)
3,Gambling Act,116516,11.8,Andhra Pradesh (29203),Goa (43.1)
4,Excise Act,106662,10.8,Madhya Pradesh (26591),Punjab (71.4)
5,Prohibition Act,547386,55.5,Tamil Nadu (318161),Tamil Nadu (517.9)
6,Explosive & Explosive Substancs Act,4399,0.4,Uttar Pradesh (860),Jammu Kashmir (3.3)
7,Immoral Traffic (Prevention)Act,9365,0.9,Tamil Nadu (6462),Tamil Nadu (10.5)
8,Indian Railways Act,36099,3.7,Madhya Pradesh (13570),Madhya Pradesh (17.2)
9,Registration of Foreigners Act,1587,0.2,West Bengal (1229),Mizoram (7.4)
10,Protection of Civil rights Act,996,0.1,Tamil Nadu (302),Pondicherry (0.9)
11,Indian Passport Act,472,0,Punjab (91),Mizoram (4.5)
12,Essential Commodities Act,5639,0.6,Uttar Pradesh (1222),Jammu Kashmir (7.2)
13,Antiquity & Art Treasure Act,16,NA,Bihar (4),NA
14,Dowry Prohibition Act,3064,0,West Bengal (1211),Bihar (1.2)
15,Child Marrige Restraint Act,58,0.3,Gujarat (31),A & N Islands (0.3)
16,Indecent Representation of Women (P) Act,222,NA,Maharashtra (147),Maharashtra (0.2)
17,Copyright Act,1980,0.2,Maharashtra (586),Delhi (1.0)
18,SC/ST(Prevention of Atrocites )Act,14595,1.5,Rajasthan (4572),Rajasthan (806)
19,Forest Act,5139,0.5,Uttar Pradesh (2869),Himachal Pradesh (4.7)
