Sl. No.,Crime Head,Number of Cases Reported during - 1998,Number of Cases Reported during - 1999,Percentage Change in 1999 Over 1998
1,Arms Act,45,40,-11.1
2,Narcotic Drugs & Psychotropic Substances Act,18,9,-50
3,Gambling Act,277,113,-59.2
4,Excise Act,123,75,-39
5,Prohibition Act,1313,733,-44.2
6,Explosive & Explosive Substances Act,0,7,NA
7,Immoral Traffic (P) Act,227,75,-67
8,Indian Railways Act,15,105,600
9,Registration of Foregners Act,15,14,-6.7
10,Protection Of Civil Rights Act,3,1,-66.7
11,Indian Passport Act,5,16,220
12,Essential Commodities Act,1,2,100
13,Terrorist & Disruptive Actvites Act,0,0,NA
14,Antiquity & Art Treasure Act,0,0,NA
15,Dowry Prohibition Act,4,3,-25
16,Child Marriage Restraint Act,3,1,-66.7
17,Indecent Representation of Women (P)Act,0,1,NA
18,Copy Rights Act,0,2,NA
19,Sati Prevention Act,0,0,NA
20,SC/St (Prevention of Atrocities ) Act,17,18,5.9
21,Forest Act,5,73,1360
22,Other SLL Crimes,3936,4281,8.8
23,Total cognizable Crimes Under Sll,6007,5569,-7.3
