SI.No.,States/UT/City,Number of Deaths in Police Custody during hospital lisation/ Treatment,Number of Deaths in Police Custody due to Accidents,Number of Deaths in Police Custody by Mob Attact/ Riot,Number of Deaths in Police Custody by other Criminals,Number of Deaths in Police Custody by Suicide,Number of Deaths in Police Custody while escaping from Custody
1,Andhra Pradesh,3,0,0,0,2,0
2,Arunachal Pradesh,0,0,0,0,1,0
3,Assam,0,0,0,0,0,0
4,Bihar,3,1,0,0,0,0
5,Goa,0,0,0,0,1,0
6,Gujarat,2,1,0,0,1,0
7,Haryana,2,0,0,0,0,0
8,Himachal Pradesh,0,0,0,0,0,0
9,Jammu & Kashmir,0,0,0,0,0,0
10,Karnataka,0,0,0,0,0,0
11,Kerala,0,0,0,0,0,0
12,Madhya Pradesh,4,0,0,0,4,0
13,Maharashtra,5,2,3,2,6,0
14,Manipur,0,0,0,0,0,0
15,Meghalaya,0,0,0,0,1,0
16,Mizoram,0,0,0,0,0,0
17,Nagaland,1,0,0,0,0,0
18,Orissa,0,0,0,0,0,0
19,Punjab,2,0,0,1,0,0
20,Rajasthan,0,0,0,0,0,0
21,Sikkim,NR,NR,NR,NR,NR,NR
22,Tamil Nadu,1,1,0,0,1,1
23,Tripura,0,0,0,0,0,0
24,Uttar Pradesh,1,0,0,0,3,11
25,West Bengal,20,0,0,0,3,0
Total States,Total States,44,5,3,3,23,12
26,A & N Islands,0,0,0,0,1,0
27,Chandigarh,0,0,0,0,0,0
28,D & N Haveli,0,0,0,0,0,0
29,Daman & DIU,0,0,0,0,0,0
30,Delhi,0,0,0,0,0,0
31,Lakshadweep,0,0,0,0,0,0
32,Pondicherry,0,0,0,0,0,0
Total (UTs),Total (UTs),0,0,0,0,1,0
Total (All-India),Total (All-India),44,5,3,3,24,12
