SI.No. (1),States/UT (2),District/Session judge Duration of Trial - Less Than 6 Months(3),District/Session judge Duration of Trial - 6-12 Months(4),District/Session judge Duration of Trial - 1-3Years(5),District/Session judge Duration of Trial - 3-5 Years(6),District/Session judge Duration of Trial - 5-10 Years (7),District/Session judge Duration of Trial - Over 10Years (8),District/Session judge Duration of Trial - Total (Col 3 To 8) (9),Additional Session Judge Duration of Trial - Less Than 6 Month (10),Additional Session Judge Duration of Trial - 6-12 Month (11),Additional Session Judge Duration of Trial - Less Than 1-3 Years (12),Additional Session Judge Duration of Trial - 3-5 Years (13),Additional Session Judge Duration of Trial - 5-10 Years (14),Additional Session Judge Duration of Trial - Over 10 Years (15),Additional Session Judge Duration of Trial - Total (Col. (10 To 15) (16),Chief Judicial Magistrate Duration of Trial - Less than 6 Months (17),Chief Judicial Magistrate Duration of Trial - 6 -12 Months (18),Chief Judicial Magistrate Duration of Trial - 1-3 Years (19),Chief Judicial Magistrate Duration of Trial - 3-5 Years (20),Chief Judicial Magistrate Duration of Trial - 5-10 Years (21),Chief Judicial Magistrate Duration of Trial - Over 10 Years (22),Chief Judicial Magistrate Duration of Trial - Total (Col. 17 To 22) (23),Judicial Magistrate (I) Duration of Trial - Less than 6 Months (24),Judicial Magistrate (I) Duration of Trial - 6-12 Months (25),Judicial Magistrate (I) Duration of Trial - 1-3 Years (26),Judicial Magistrate (I) Duration of Trial - 3-5 Years (27),Judicial Magistrate (I) Duration of Trial - 5-10 Years (28),Judicial Magistrate (I) Duration of Trial - Over 10 Years (29),Judicial Magistrate (I) Duration of Trial - Total (Col. 24 To 29) (30),Judicial Magistrate (II) Duration of Trial - Less than 6 Months (31),Judicial Magistrate (II) Duration of Trial - 6-12 Months (32),Judicial Magistrate (II) Duration of Trial - 1-3 Years (33),Judicial Magistrate (II) Duration of Trial - 3-5 Years (34),Judicial Magistrate (II) Duration of Trial - 5-10 Years (35),Judicial Magistrate (II) Duration of Trial - Over 10 Years (36),Judicial Magistrate (II) Duration of Trial - Total (Col. 31 To 36) (37),Special Judicial Magistrate Duration of Trial - Less than 6 Months (38),Special Judicial Magistrate Duration of Trial - 6-12 Months (39),Special Judicial Magistrate Duration of Trial - 1-3 Years (40),Special Judicial Magistrate Duration of Trial - 3-5 Years (41),Special Judicial Magistrate Duration of Trial - 5-10 Years (42),Special Judicial Magistrate Duration of Trial - Over 10 Years (43),Special Judicial Magistrate Duration of Trial - Total (Col. 38 To 43) (44),Sum of All Type of Courts Duration of Trial - Less than 6 Months (45),Sum of All Type of Courts Duration of Trial - 6-12 Months (46),Sum of All Type of Courts Duration of Trial - 1-3 Years (47),Sum of All Type of Courts Duration of Trial - 3-5 Years (48),Sum of All Type of Courts Duration of Trial - 5-10 Years (49),Sum of All Type of Courts Duration of Trial - Over 10 Years (50),Sum of All Type of Courts Duration of Trial - Total (Col. 45 To 50) (51)
1,Andhra Pradesh,411,470,1271,1421,657,75,4308,283,1103,2057,1884,621,94,6042,117,909,1509,590,265,77,3467,5830,10184,13259,5544,2069,443,37329,1911,2546,4298,3974,754,179,13662,1034,1369,3290,1615,379,158,7845,9586,16581,25684,15028,4745,1026,72650
2,Arunachal Pradesh,1,2,27,27,0,0,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,139,88,19,0,256,6,14,33,60,196,1,310,0,0,0,0,0,0,0,12,21,199,175,215,1,623
3,Assam,94,181,340,500,217,30,1362,87,201,344,472,440,56,1600,575,614,1283,1155,480,99,4206,855,1170,2077,1842,680,129,6753,296,395,557,226,75,16,1565,74,98,213,211,60,6,662,1981,2659,4814,4406,1952,336,16148
4,Bihar,12,60,524,828,929,271,2624,48,185,2393,3677,2816,848,9967,107,855,3858,3498,2122,797,11237,179,1449,7146,6153,3443,1534,19904,105,796,3277,3837,1426,748,10189,15,120,810,620,170,39,1774,466,3465,18008,18613,10906,4237,55695
5,Goa,4,4,12,14,18,1,53,0,12,10,2,8,1,33,0,17,11,14,9,1,52,49,88,336,291,473,153,1390,1,14,24,32,18,7,96,0,0,0,0,4,0,4,54,135,393,353,530,163,1628
6,Gujarat,26,149,459,349,266,34,1283,18,73,506,247,256,18,1118,716,1907,2785,2470,999,201,9078,1851,4495,8507,6746,3642,626,25867,681,1337,2410,1406,1092,203,7129,151,226,327,167,70,17,958,3443,8187,14994,11385,6325,1099,45433
7,Haryana,8,67,183,120,39,4,421,45,350,864,464,305,8,2036,548,863,1216,1021,448,80,4176,862,1395,2786,1802,836,163,7844,510,822,1325,741,459,80,3937,37,95,200,193,81,2,608,2010,3592,6574,4341,2168,337,19022
8,Himachal Pradesh,44,88,131,33,1,0,297,26,49,88,5,52,0,220,502,450,485,462,132,5,2036,156,173,352,189,93,12,975,31,74,258,25,5,0,393,32,55,48,59,28,0,222,791,889,1362,773,311,17,4143
9,jammu & Kashmir,211,251,278,246,199,68,1253,153,63,101,105,86,49,557,402,302,288,370,203,120,1685,285,385,422,167,174,118,1551,29,17,69,50,52,26,243,3,6,17,9,48,1,84,1083,1024,1175,947,762,382,5373
10,Karnataka,165,312,1168,867,531,54,3097,72,204,831,434,377,29,1947,1035,2038,4403,4057,2257,666,14456,3902,5878,12996,5562,1766,1030,31134,1598,3309,6710,2471,1226,742,16056,528,644,437,437,414,419,2879,7300,12385,26545,13828,6571,2940,69569
11,Kerala,189,303,598,261,69,5,1425,407,394,851,406,109,9,2176,993,1420,2013,681,180,17,5304,7153,8266,16886,5398,1435,207,39345,2567,1324,1663,515,283,18,6370,57,68,81,44,18,0,268,11366,11775,22092,7305,2094,256,54888
