SI.No,Crime Head,1989 - Incidence and Rate,1994 - Incidence and Rate,1995 - Incidence and Rate,1996 - Incidence and Rate,1997 - Incidence and Rate,1998 - Incidence and Rate,Quinquenial Avg.(1994-98)(Q.A) - Incidence and Rate,1999 - Incidence and Rate,Percentage Change In 1999 [(+)Increase /(-) Decrease] Over 1989,Percentage Change In 1999 [(+)Increase /(-) Decrease] Over Q.A,Percentage Change In 1999 [(+)Increase /(-) Decrease] Over 1998
1,Murder,31222 (3.8),38577 (4.3),37464 (4.1),37671 (4.0),37543 (3.9),38584 (4.0),37968 (4.1),37170 (3.8),19.1,-2.1,-3.7
2,Attempt to Commit Murder,23748 (2.9),30020 (3.3),29571 (3.2),29597 (3.2),29322 (3.1),30577 (3.1),29817 (3.2),29628 (3.0),24.8,-0.6,-3.1
3,C.H. Not Amounting To Murder,4100 (0.5),3946 (0.4),3830 (0.4),3728 (0.4),3869 (0.4),3681 (0.4),3811 (0.4),3912 (0.4),-4.6,2.7,6.3
4,Rape,9752 (1.2),13208 (1.5),13754 (1.5),14846 (1.6),15330 (1.6),15151 (1.6),14458 (1.5),15468 (1.6),58.6,7,2.1
5,Kidnapping & Abduction,17318 (2.1),20983 (2.3),20426 (2.2),20848 (2.2),21898 (2.3),23520 (2.4),21535 (2.3),23236 (2.4),34.2,7.9,-1.2
5,I)Of Woman & Girls,14169 (1.7),14075 (1.6),14063 (1.5),14877 (1.6),15617 (1.6),16351 (1.7),14997 (1.6),15962 (1.6),12.7,6.4,-2.4
5,II)Of Others,3149 (0.4),6908 (0.8),6363 (0.7),5971 (0.6),6281 (0.7),7169 (0.7),6538 (0.7),7274 (0.7),131,11.3,1.5
6,Dacoity,9896 (1.2),9271 (1.0),8335 (0.9),8035 (0.9),7867 (0.8),8091 (0.8),8320 (0.9),7079 (0.7),-28.5,-14.9,-12.5
7,Preparation & Assembly for Dacoity,1015 (0.1),946 (0.1),961 (0.1),888 (0.1),1049 (0.1),1266 (0.1),1022 (0.1),1501 (0.2),47.9,46.9,18.6
8,Robbery,22480 (2.8),23933 (2.7),22443 (2.5),22705 (2.4),22141 (2.3),23603 (2.4),22965 (2.5),21332 (2.2),-5.1,-7.1,-9.6
9,Burglary,129020 (15.9),121536 (13.5),116507 (12.7),115097 (12.4),113319 (11.9),119260 (12.3),117144 (12.5),111296 (11.3),-13.7,-5,-6.7
10,Theft,341240 (42.0),303564 (33.7),294306 (32.1),284985 (30.6),277077 (29.0),287967 (29.7),289580 (31.0),271907 (27.6),-20.3,-6.1,-5.6
10,I) Auto Theft,*,*,*,*,*,*,*,59685 (6.0),NA,NA,NA
10,II) Other Theft,*,*,*,*,*,*,*,212154 (21.5),NA,NA,NA
11,Riots,98943 (12.2),94344 (10.5),96520 (10.5),92831 (10.0),91812 (9.6),90767 (9.3),93255 (10.0),80838 (8.2),-18.3,-13.3,-10.9
12,Criminal Breach of Trust,17541 (2.2),16523 (1.8),15503 (1.7),15368 (1.6),15077 (1.6),16157 (1.7),15726 (1.7),15454 (1.6),-11.9,-1.7,-4.4
13,Cheating,23691 (2.9),31207 (3.5),30678 (3.3),33283 (3.6),35228 (3.7),38271 (3.9),33841 (3.6),41403 (4.2),74.8,22.3,8.2
14,Counterfeiting,2075 (0.3),2851 (0.3),2203 (0.2),2796 (0.3),2228 (0.2),1353 (0.1),2286 (0.2),1347 (0.1),-35.1,-41.1,-0.4
15,Arson,*,*,12028 (1.3),12425 (1.3),12363 (1.3),12913 (1.3),*,11218 (1.1),NA,NA,-13.1
16,Hurt,*,*,20381 (22.2),223977 (24.0),228497 (23.9),235870 (24.3),*,236313 (24.0),NA,NA,0.2
17,Dowry Deaths,*,*,4648 (0.5),5513 (0.6),6006 (0.6),6975 (0.7),*,6699 (0.7),NA,NA,-4
18,Molestation,*,*,26856 (2.9),28939 (3.1),30764 (3.2),30959 (3.2),*,32311 (3.3),NA,NA,4.4
19,Sexual Harassment,*,*,4689 (0.5),5671 (0.6),5796 (0.6),8053 (0.8),*,8858 (0.9),NA,NA,10
20,Cruelty by Husband and Relatives,*,*,28579 (3.1),35246 (3.8),36592 (3.8),41375 (4.3),*,43823 (4.4),NA,NA,5.9
21,Importation of Girls,*,*,*,*,*,*,*,1 (0.0),NA,NA,NA
22,Other IPC Crimes,797803 (98.3),924342 (102.7),722583 (78.9),714587 (76.7),726042 (76.0),74422 (76.7),766395 (82.2),763835 (77.4),-4.3,-0.3,2.6
23,Total Cognizable Crimes Under IPC,1529844 (188.5),1635251 (181.7),1695696 (185.1),1709576 (183.4),1719820 (180.0),1778815 (183.2),1707832 (182.7),1764629 (178.9),15.3,3.3,-0.8
