SI.No,Crime Head,7-12 Years - Boys,7-12 Years - Girls,12-16 Years - Boys,12-16 Years - Girls,16-18 Years - Girls only,Overall age Group - Boys,Overall age Group - Girls,Total (Boys + Girls )
1,Murder,47,6,200,19,52,247,77,324
2,Attempt to Commit Murder,27,4,150,12,43,177,59,236
3,C.H. Not Amounting To Murder,8,0,11,1,4,19,5,24
4,Rape,17,0,144,5,13,161,18,179
5,Kidnapping & Abduction,2,1,38,4,43,40,48,88
5,I)Of Woman & Girls,1,1,22,3,42,23,46,69
5,II)Of Others,1,0,16,1,1,17,2,19
6,Dacoity,3,0,29,0,0,32,0,32
7,Preparation & Assembly for Dacoity,0,0,3,0,0,3,0,3
8,Robbery,6,0,70,0,3,76,3,79
9,Burglary,325,10,1369,28,20,1694,58,1752
10,Theft,404,51,2001,94,134,2405,279,2684
10,I) Auto Theft,20,0,184,0,2,204,2,206
10,II) Other Theft,380,50,1815,93,132,2195,275,2470
11,Riots,43,2,474,40,358,517,400,917
12,Criminal Breach of Trust,2,0,8,0,4,10,4,14
13,Cheating,5,1,24,2,8,29,11,40
14,Counterfeiting,0,0,2,3,2,2,5,7
15,Arson,5,0,38,2,3,43,5,48
16,Hurt,135,30,1195,109,459,1330,598,1928
17,Dowry Deaths,2,1,21,15,33,23,49,72
18,Molestation,9,0,115,0,3,124,3,127
19,Sexual Harassment,1,0,25,0,1,26,1,27
20,Cruelty by Husband and Relatives,8,14,62,29,238,70,281,351
21,Importation of Girls,0,0,0,0,0,0,0,0
22,Other IPC Crimes,247,26,1619,211,836,1866,1073,2939
23,Total Cognizable Crimes Under IPC,1296,146,7598,574,2257,8894,2977,11871
1,Arms Act,1,0,37,0,6,38,6,44
2,Narcotic Drugs & Psychotropic Substances Act,0,0,6,2,1,6,3,9
3,Gambling Act,2,0,139,0,0,141,0,141
4,Excise Act,4,3,48,2,28,52,33,85
5,Prohibition Act,16,1,228,24,693,244,718,962
6,Explosive & Explosive Substances Act,0,0,7,0,0,7,0,7
7,Immoral Traffic (P) Act,0,0,0,6,181,0,187,187
8,Indian Railways Act,4,0,23,1,79,27,80,107
9,Registration of Foregners Act,2,2,1,1,10,3,13,16
10,Protection Of Civil Rights Act,0,0,1,0,0,1,0,1
11,Indian Passport Act,3,2,0,1,12,3,15,18
12,Essential Commodities Act,1,0,1,0,0,2,0,2
13,Terrorist & Disruptive Actvites Act,0,0,0,0,0,0,0,0
14,Antiquity & Art Treasure Act,0,0,0,0,0,0,0,0
15,Dowry Prohibition Act,0,0,3,0,1,3,1,4
16,Child Marriage Restraint Act,0,0,0,0,1,0,1,1
17,Indecent Representation of Women (P)Act,0,0,0,2,0,0,2,2
18,Copy Rights Act,0,0,1,0,1,1,1,2
19,Sati Prevention Act,0,0,0,0,0,0,0,0
20,SC/St (Prevention of Atrocities ) Act,1,1,9,0,7,10,8,18
21,Forest Act,0,0,36,37,44,36,81,117
22,Other SLL Crimes,2332,222,1288,235,789,3620,1246,4866
23,Total cognizable Crimes Under Sll,2366,231,1828,311,1853,4194,2395,6589
C.Grang Total (A+B),C.Grang Total (A+B),3662,377,9426,885,4110,13088,5372,18460
