SI.No. (1),States/UT/City (2),Total No o Cases for investigation including pending cases (3),Cases with drawan by Govt. (4),No. of Cases in Which Investigation Was Refused (5),No. of Cases in Which Investigation was Completed Charge Found False/Mistake of Fact or Law Etc. (6),No. of Cases in Which Investigation was Completed Final Report True Submitted (7),No. of Cases in Which Investigation was Completed Charge Sheets Were Submitted (8),No. of Cases in Which Investigation was Completed Total [ (6)+(7)+(8)] (9),No. of Cases Pending investigation (10),Pendency Percentage (11),Percentage of Pendency to All India Total (12),Charge Sheeting Rate [(Col.8)/(Col.7+8)*100] (13)
1,Andhra Pradesh,161822,0,321,13044,14632,93479,121155,40346,24.9,8,86.5
2,Arunachal Pradesh,2972,0,0,3,800,1415,2218,754,25.4,0.1,63.9
3,Assam,80221,0,260,4235,15954,18947,39136,40825,50.9,8.1,54.3
4,Bihar,180199,0,22,4735,25099,87286,117120,63057,35,12.5,77.7
5,Goa,3285,0,1,2,1102,1373,2477,807,24.6,0.2,55.5
6,Gujarat,140152,0,189,3637,27099,97990,128726,11237,8,2.2,78.3
7,Haryana,49223,0,70,2542,9901,30352,42975,6178,12.6,1.2,75.5
8,Himachal Pradesh,141133,0,0,1164,1901,8158,11223,2910,20.6,0.6,81.1
9,jammu & Kashmir,23018,0,0,1939,4061,10199,16199,6819,29.6,1.4,71.5
10,Karnataka,146500,0,1278,6542,22875,81182,110599,34623,23.6,6.9,78
11,Kerala,117395,0,808,7853,7784,79350,94987,21600,18.4,4.3,91.1
12,Madhya Pradesh,217485,0,286,1367,38571,166274,206212,10987,5.1,2.2,81.2
13,Maharashtra,229026,14,79,1977,57577,122897,182451,46482,20.3,9.2,68.1
14,Manipur,6849,0,61,0,2181,111,2292,4496,65.6,0.9,4.8
15,Meghalaya,3819,0,0,14,692,877,1583,2236,58.5,0.4,55.9
16,Mizoram,6062,0,0,0,438,1544,1982,4080,67.3,0.8,77.9
17,Nagaland,2803,0,0,0,421,547,968,1835,65.5,0.4,56.5
18,Orissa,60701,0,16,1794,7835,36909,46538,14147,23.3,2.8,82.5
19,Punjab,28353,16,108,1476,2082,14091,17649,10580,37.3,2.1,87.1
20,Rajasthan,174330,0,80,37888,23457,107762,169107,5143,3,1,82.1
21,Sikkim,1132,0,0,0,318,341,650,473,41.8,0.1,51.7
22,Tamil Nadu,187470,0,2179,14756,11311,125166,151233,34058,18.2,6.7,91.7
23,Tripura,4678,0,0,30,1106,1640,2776,1902,40.7,0.4,59.7
24,Uttar Pradesh,198918,0,0,13434,45919,119908,179261,19657,9.9,3.9,72.3
25,West Bengal,106676,0,8,1107,26502,37173,64782,41886,39.3,8.3,58.4
Total States,Total States,2147222,30,5766,119539,349618,1245151,1714308,427118,19.9,84.6,78.1
26,A & N Islands,986,0,0,0,185,442,627,359,36.4,0.1,70.5
27,Chandigarh,3721,0,0,81,1395,1386,2862,859,23.1,0.2,49.8
28,D & N Haveli,620,0,0,3,156,318,477,143,23.1,0,67.1
29,Daman & DIU,325,0,0,0,77,112,189,136,41.8,0,59.3
30,Delhi,148682,0,0,714,15971,55753,72438,76244,51.3,15.1,77.7
31,Lakshadeep,92,0,0,3,50,9,62,30,32.6,0,15.3
32,Pondicherry,3499,0,0,70,348,3009,3427,72,2.1,0,89.6
Total (UTs),Total (UTs),157925,0,0,871,181182,61029,80082,77843,49.3,15.4,77
Total (All-India),Total (All-India),2305147,30,5766,120410,367800,1306180,1794390,504961,21.9,100,78
