SI.No. (1),States/UT (2),Total No. of Cases for Trial Including Pending Cases (3),Cases With-Drawn by. Govt. (4),No. of Cases Compounded or With Drawn (5),No. of Cases In Which Trials Were Completed Convicted (6),No. of Cases In Which Trials Were Completed Acquitted or Discharged (7),No. of Cases In Which Trials Were Completed Total [(6) +(7)] (8),No. of Cases Pending Trial (9),Pendency Percentage (10),Percentage of Pendency to All India Total (11),Convicion Rate [(6)/(8)*100] (12)
1,Andhra Pradesh,417585,0,866,327246,22301,349547,67172,16.1,1.9,93.6
2,Arunachal Pradesh,349,0,2,10,1,11,336,96.3,0,90.9
3,Assam,9499,0,83,584,740,1324,8092,85.2,0.2,44.1
4,Bihar,40245,0,276,1772,3803,5575,34394,85.5,1,31.8
5,Goa,5425,1,81,785,248,1033,4311,79.5,0.1,76
6,Gujarat,996562,41,2032,21410,57493,78903,915627,91.9,26.1,27.1
7,Haryana,171368,5567,866,12515,15494,28009,142493,83.2,4.1,44.7
8,Himachal Pradesh,26865,0,189,277,3738,4015,22661,84.4,0.6,6.9
9,jammu & Kashmir,14943,0,110,258,1214,1472,13361,89.4,0.4,17.5
10,Karnataka,921892,0,1272,864950,14404,879354,41266,4.5,1.2,98.4
11,Kerala,40788,0,410,5338,3310,8648,31730,77.8,0.9,61.7
12,Madhya Pradesh,459569,4,2528,219251,11833,231084,225957,49.2,6.4,94.9
13,Maharashtra,1271031,167,16117,239025,83112,322137,932777,73.4,26.6,74.2
14,Manipur,1465,0,0,31,9,40,1425,97.3,0,77.5
15,Meghalaya,948,1,0,49,48,97,851,89.8,0,50.5
16,Mizoram,1750,0,0,851,3,854,896,51.2,0,99.6
17,Nagaland,1905,0,0,196,2,198,1707,89.6,0,99
18,Orissa,13215,0,0,1463,3846,5309,7906,59.8,0.2,27.6
19,Punjab,54428,0,66,10911,5488,16399,37963,69.7,1.1,66.5
20,Rajasthan,78895,0,931,14174,5054,19228,58736,74.4,1.7,73.7
21,Sikkim,494,0,0,1,0,1,493,99.8,0,100
22,Tamil Nadu,618442,0,42641,395893,74475,470368,105433,17,3,84.2
23,Tripura,193,0,0,56,14,70,123,63.7,0,80
24,Uttar Pradesh,1117067,0,971,281577,72274,353851,762245,68.2,21.7,79.6
25,West Bengal,882206,0,421675,424527,3578,428105,32426,3.7,0.9,99.2
Total States,Total States,7147129,5781,491116,2823150,382482,3205632,3450381,48.3,98.4,88.1
26,A & N Islands,5391,0,0,1587,11,1598,3793,70.4,0.1,99.3
27,Chandigarh,707,0,0,248,11,259,448,63.4,0,95.8
28,D & N Haveli,40,0,0,4,1,5,35,87.5,0,80
29,Daman & DIU,19,0,0,2,2,4,15,78.9,0,50
30,Delhi,63433,0,0,3888,7350,11238,52195,82.3,1.5,34.6
31,Lakshadeep,3,0,0,1,0,1,1,33.3,0,100
32,Pondicherry,2500,0,0,2401,20,2421,79,3.2,0,99.2
Total (UTs),Total (UTs),72093,0,1,8131,7395,15526,56566,78.5,1.6,52.4
Total (All-India),Total (All-India),7219222,5781,491117,283281,389877,3221158,3506947,48.6,100,87.9
