SI No,Crime Head,Incidence 1998,Incidence 1999,Percentage Share 1999,Percentage Variaion in 1998 over 1997
1,Arms Act,8817,8380,0.6,-5
2,Narcotic Drugs & Psychotropic Substances Act,3697,3494,0.2,-5.5
3,Gambling Act,13020,12676,0.9,-2.6
4,Excise Act,9050,11393,0.8,25.9
5,Prohibition Act,38549,39488,2.7,2.4
6,Explosive & Explosive Substances Act,381,295,0,-22.6
7,Immoral Traffic (P) Act,4378,4683,0.3,7
8,Indian Railways Act,131,71,0,-45.8
9,Registration of Foregners Act,184,119,0,-35.3
10,Protection Of Civil Rights Act,41,69,0,68.3
11,Indian Passport Act,40,133,0,232.5
12,Essential Commodities Act,374,425,0,13.6
13,Terrorist & Disruptive Actvites Act,0,0,0,NA
14,Antiquity & Art Treasure Act,0,3,0,NA
15,Dowry Prohibition Act,379,415,0,9.5
16,Child Marriage Restraint Act,0,3,0,NA
17,Indecent Representation of Women (P)Act,38,154,0,305.3
18,Copy Rights Act,558,711,0,27.4
19,Sati Prevention Act,0,0,0,NA
20,SC/St (Prevention of Atrocities ) Act,1607,462,0,-23.9
21,Forest Act,200,204,0,2
22,Other SLL Crimes,2052749,1355421,94.2,-34
Total cognizable Crimes Under SLL,Total cognizable Crimes Under SLL,2133193,1438599,100,-32.6
