SI.No. , States/UT,Rape**(Blow 16 Years) - I ,Rape**(Blow 16 Years) - P ,Infanticide - I ,Infanticide - P,Foeticide - I ,Foeticide - P ,Abetment of Suicide - I ,Abetment of Suicide - P ,Exposure & Abondonment - I ,Exposure & Abondonment - P ,Kidnapping & Abduction - I ,Kidnapping & Abduction - P ,Procuration of Minor Girls - I ,Procuration of Minor Girls - P ,Selling of Girls For Prostitution - I ,Selling of Girls For Prostitution - P ,Buying of Girls For Prostitution - I ,Buying of Girls For Prostitution - P ,Child Marriage Restraint Act ** - I ,Child Marriage Restraint Act ** - P ,Total - I ,Total - P 
1,Andhra Pradesh ,202,6.4,10,11.5,3,4.9,7,29.2,16,2.7,26,3.3,6,3.5,0,0,0,0,1,1.7,271,5.5
2,Arunachal Pradesh ,9,0.3,2,2.3,0,0,0,0,1,0.2,3,0.4,0,0,0,0,0,0,0,0,15,0.3
3,Assam,119,3.8,5,5.7,0,0,0,0,1,0.2,8,1,29,16.9,0,0,0,0,0,0,162,3.3
4,Bihar,78,2.5,7,8,4,6.6,1,4.2,4,0.7,66,8.3,42,24.4,0,0,0,0,3,5.2,205,4.1
5,Goa,11,0.3,1,1.1,0,0,0,0,4,0.7,3,0.4,0,0,0,0,0,0,0,0,19,0.4
6,Gujarat,92,2.9,0,0,7,11.5,2,8.3,73,12.3,106,13.4,6,3.5,0,0,0,0,31,53.4,317,6.4
7,Haryana,88,2.8,4,4.6,9,14.8,0,0,9,1.5,92,11.6,7,4.1,0,0,0,0,2,3.4,211,4.3
8,Himachal Pradesh,29,0.9,0,0,1,1.6,0,0,13,2.2,2,0.3,0,0,0,0,0,0,7,12.1,52,1
9,jammu & Kashmir,12,0.4,1,1.1,1,1.6,5,20.8,3,0.5,0,0,0,0,0,0,0,0,0,0,22,0.4
10,Karnataka ,70,2.2,2,2.3,0,0,0,0,23,3.9,51,6.4,12,7,1,7.7,0,0,0,0,159,3.2
11,Kerala,121,3.8,0,0,0,0,0,0,7,1.2,5,0.6,5,2.9,0,0,0,0,2,3.4,140,2.8
12,Madhya Pradesh,760,24.1,16,18.4,17,27.9,4,16.7,104,17.5,35,4.4,16,9.3,0,0,0,0,0,0,952,19.2
13,Maharashtra,359,11.4,14,16.1,13,21.3,3,12.5,249,42,74,9.4,31,18,3,23.1,2,40,2,3.4,750,15.1
14,Manipur,4,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0.1
15,Meghalaya,4,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0.1
16,Mizoram,52,1.6,0,0,0,0,0,0,0,0,0,0,0,0,1,7.7,0,0,0,0,53,1.1
17,Nagaland,2,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
18,Orissa,128,4.1,2,2.3,0,0,0,0,0,0,17,2.1,2,1.2,0,0,0,0,0,0,149,3
19,Punjab,115,3.6,11,12.6,3,4.9,0,0,3,0.5,12,1.5,2,1.2,0,0,0,0,2,3.4,148,3
20,Rajasthan,137,4.3,6,6.9,3,4.9,0,0,54,9.1,8,1,0,0,0,0,0,0,6,10.3,214,4.3
21,Sikkim ,2,0.1,2,2.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0.1
22,Tamil Nadu,88,2.8,0,0,0,0,0,0,0,0,4,0.5,4,2.3,0,0,0,0,0,0,96,1.9
23,Tripura,6,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0.1
24,Uttar Pradesh,344,10.9,0,0,0,0,0,0,3,0.5,18,2.3,3,1.7,0,0,0,0,1,1.7,369,7.4
25,West Bengal ,84,2.7,1,1.1,0,0,0,0,0,0,87,11,6,3.5,7,53.8,3,60,0,0,188,3.8
Total States,Total States,2916,92.5,84,96.6,61,100,22,91.7,567,95.6,617,78,171,99.4,12,92.8,5,100,57,98.3,4512,91
26,A & N Islands,4,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1.7,5,0.1
27,Chandigarh,5,0.2,0,0,0,0,1,4.2,5,0.8,17,2.1,1,0.6,0,0,0,0,0,0,29,0.6
28,D & N Haveli,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
29,Daman & DIU,3,0.1,0,0,0,0,1,4.2,1,0.2,0,0,0,0,0,0,0,0,0,0,5,0.1
30,Delhi,223,7.1,3,3.4,0,0,0,0,20,3.4,156,19.7,0,0,1,7.7,0,0,0,0,403,8.1
31,Lakshadeep,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,Pondicherry,1,0,0,0,0,0,0,0,0,0,1,0.1,0,0,0,0,0,0,0,0,2,0
Total (UTs),Total (UTs),237,7.5,3,3.4,0,0,2,8.3,26,4.4,174,22,1,0.6,1,7.7,0,0,1,1.7,445,9
Total (All-India),Total (All-India),3153,100,87,100,61,100,24,100,593,100,791,100,172,100,13,100,5,100,58,100,4957,100
