SI.No.,States/UT/City,Number of Death Reported,Number of Autopsy Conducted,Number of Magisterial enquiry ordered Conducted,Number of Judicial Enquiry ordered Counducted,Number of Cases Regd. In Connection with Deaths,Number of Police Men Charge sheeted,Number of Policemen Cinvicted
1,Andhra Pradesh,0,0,0,0,0,0,0
2,Arunachal Pradesh,1,1,1,0,1,0,0
3,Assam,0,0,0,0,2,0,0
4,Bihar,1,0,0,0,0,0,0
5,Goa,1,1,1,0,0,0,0
6,Gujarat,0,0,0,0,0,0,0
7,Haryana,1,0,0,0,1,0,0
8,Himachal Pradesh,0,0,0,0,0,0,0
9,Jammu & Kashmir,0,0,0,0,0,0,0
10,Karnataka,0,0,0,0,0,0,0
11,Kerala,4,4,0,0,4,0,0
12,Madhya Pradesh,5,3,5,0,3,2,2
13,Maharashtra,4,4,1,0,1,0,0
14,Manipur,0,0,0,0,0,0,0
15,Meghalaya,0,0,0,0,0,0,0
16,Mizoram,0,0,0,0,0,0,0
17,Nagaland,0,0,0,0,0,0,0
18,Orissa,0,0,0,0,0,0,0
19,Punjab,3,3,3,0,2,6,0
20,Rajasthan,0,0,0,0,0,0,0
21,Sikkim,NR,NR,NR,NR,NR,NR,NR
22,Tamil Nadu,6,6,6,0,6,0,0
23,Tripura,0,0,0,0,0,0,0
24,Uttar Pradesh,13,13,9,1,13,0,0
25,West Bengal,3,3,3,0,0,0,0
Total States,Total States,42,38,29,1,33,8,2
26,A & N Islands,0,0,0,0,0,0,0
27,Chandigarh,0,0,0,0,0,0,0
28,D & N Haveli,0,0,0,0,0,0,0
29,Daman & DIU,0,0,0,0,0,0,0
30,Delhi,1,1,1,1,1,0,0
31,Lakshadweep,0,0,0,0,0,0,0
32,Pondicherry,0,0,0,0,0,0,0
Total (UTs),Total (UTs),1,1,1,1,1,0,0
Total (All-India),Total (All-India),43,39,30,2,34,8,2
