SI.No. (1),States/UT (2),Total No of Cases for investigation including pending cases (3),Cases Which drawan by Govt. (4),No. of Cases Compounded or Which Drawn (5),No. of Cases in Witch Trials were Completed Convicted (6),No. of Cases in Witch Trials were Completed Acquitted or Discharged (7),No. of Cases in Witch Trials were Completed Total [(6)+(7)] (8),No. of Cases Pending Trial (9),Pendency Percentage (10),Percentage of Pendency to All India Total (11),Conviction Rate [(6)/(8)*100] (12)
1,Andhra Pradesh,266676,0,19516,26105,46545,72650,174510,65.4,3.7,35.9
2,Arunachal Pradesh,9475,0,183,284,339,623,8669,91.5,0.2,45.6
3,Assam,82801,0,4876,4660,11488,16148,61777,74.6,1.3,28.9
4,Bihar,418535,0,8977,10618,45077,55695,353863,84.5,7.4,19.1
5,Goa,10973,7,173,346,1282,1628,9172,83.6,0.2,21.3
6,Gujarat,515110,3,7741,15013,30420,45433,461936,89.7,9.7,33
7,Haryana,119875,32,192,5711,13311,19022,100661,84,2.1,30
8,Himachal Pradesh,38782,0,968,1160,2983,4143,33671,86.8,0.7,28
9,jammu & Kashmir,53624,0,4445,2224,3149,5373,43806,81.7,0.9,41.4
10,Karnataka,262348,33,12730,19426,50143,69569,180049,68.6,3.8,27.9
11,Kerala,267659,7,8062,20988,33900,54888,204709,76.5,4.3,38.2
12,Madhya Pradesh,827409,28,46888,51982,58205,110187,670334,81,14,47.2
13,Maharashtra,938041,220,16768,10701,57277,67978,853295,91,17.9,15.7
14,Manipur,2302,0,0,3,8,11,2291,99.5,0,27.3
15,Meghalaya,6992,0,83,335,442,777,6136,87.7,0.1,43.1
16,Mizoram,6577,0,13,675,46,721,5843,88.8,0.1,93.6
17,Nagaland,3523,0,16,362,39,401,3106,88.2,0.1,90.3
18,Orissa,218410,0,186,3945,22330,26275,191949,87.9,4,15
19,Punjab,43987,0,403,4002,5910,9912,33672,76.5,0.7,40.4
20,Rajasthan,484446,0,32104,40751,38764,79515,372827,77,7.8,51.2
21,Sikkim,641,0,61,113,69,182,398,62.1,0,62.1
22,Tamil Nadu,295276,0,7094,78741,41659,120400,167782,56.8,3.5,65.4
23,Tripura,5493,0,0,449,1490,1939,3554,64.7,0.1,23.2
24,Uttar Pradesh,515076,0,12062,47110,46311,93421,409593,79.5,8.6,50.4
25,West Bengal,271939,0,992,2361,12163,14524,256423,94.3,5.4,16.3
Total States,Total States,5665974,330,184533,348065,523350,871415,4610026,81.4,96.5,39.9
26,A & N Islands,2788,0,13,120,297,417,2358,84.6,0,28.8
27,Chandigarh,4449,1,4,389,286,675,3770,84.7,0.1,57.6
28,D & N Haveli,1241,0,0,64,148,212,1029,82.9,0,30.2
29,Daman & DIU,384,0,19,30,86,116,249,64.8,0,25.9
30,Delhi,211362,0,0,17813,37141,54954,156408,74,3.3,32.4
31,Lakshadeep,28,0,2,1,6,7,19,67.9,0,14.3
32,Pondicherry,4518,0,228,2523,410,2933,1357,30,0,86
Total (UTs),Total (UTs),224770,1,266,20940,38374,59314,165190,73.5,3.5,35.3
Total (All-India),Total (All-India),5890744,331,184799,369005,561724,930729,4775216,81.1,100,39.6
