Sl.No.,Crime Head,1998,1999,Percentage Variation in 1998,Percentage share of Arrestees under Each crime During 1999
1,Arms Act,66830,64949,-2.8,1.8
2,Narcotic Drugs & Psychotropic Substances Act,21328,22866,7.2,0.6
3,Gambling Act,249796,255854,2.4,6.9
4,Excise Act,120723,115586,-4.3,3.1
5,Prohibition Act,533305,546736,2.5,14.8
6,Explosive & Explosive Substances Act,5796,5265,-9.2,0.1
7,Immoral Traffic (P) Act,12878,14799,14.9,0.4
8,Indian Railways Act,42125,37510,-11,1
9,Registration of Foregners Act,1896,2792,47.3,0.1
10,Protection Of Civil Rights Act,2240,1512,-32.5,0
11,Indian Passport Act,866,905,4.5,0
12,Essential Commodities Act,7269,7149,-1.7,0.2
13,Terrorist & Disruptive Actvites Act,22,0,-100,0
14,Antiquity & Art Treasure Act,72,47,-34.7,0
15,Dowry Prohibition Act,8893,6641,-25.3,0.2
16,Child Marriage Restraint Act,336,177,-47.3,0
17,Indecent Representation of Women (P)Act,184,283,53.8,0
18,Copy Rights Act,2001,2887,44.3,0.1
19,Sati Prevention Act,0,0,NA,NA
20,SC/St (Prevention of Atrocities ) Act,25084,24568,-2.1,0.7
21,Forest Act,9343,11325,21.2,0.3
22,Other SLL Crimes,3382499,2565278,-24.2,69.6
23,Total cognizable Crimes Under Sll,4493486,3687129,-17.9,100
