Sl No,Crime Head,Total no. of Persons under Arrest*Including those From previous Year,Persons Released Before Trial No.,Persons Released Before Trial Percentage to Total,Persons Charge Sheeted no.,Persons Charge Sheeted Percentage to Total,Persons under Investigation at the end of the Year no.,Persons under Investigation at the end of the Year Percentage to Total
1,Arms Act,77127,1043,1.4,65066,84.4,11018,14.3
2,Narcotic Drugs & Psychotropic Substances Act,34309,1001,2.9,24863,72.5,8445,24.6
3,Gambling Act,265305,1381,0.5,254105,95.8,9819,3.7
4,Excise Act,134813,2362,1.8,112815,83.7,19636,14.6
5,Prohibition Act,635014,4516,0.7,547052,86.1,83446,13.1
6,Explosive & Explosive Substances Act,8466,282,3.3,5145,60.8,3039,35.9
7,Immoral Traffic (P) Act,16374,73,0.4,14745,90.1,1556,9.5
8,Indian Railways Act,37955,67,0.2,36903,97.2,985,2.6
9,Registration of Foregners Act,3132,133,4.2,2435,77.7,564,18
10,Protection Of Civil Rights Act,2084,236,11.3,1433,68.8,415,19.9
11,Indian Passport Act,1288,71,5.5,845,65.6,372,28.9
12,Essential Commodities Act,11428,524,4.6,6661,58.3,4243,37.1
13,Terrorist & Disruptive Actvites Act,5411,512,9.5,232,4.3,4667,86.3
14,Antiquity & Art Treasure Act,106,5,4.7,35,33,66,62.3
15,Dowry Prohibition Act,9205,369,4,6475,70.3,2361,25.6
16,Child Marriage Restraint Act,204,0,0,197,96.6,7,3.4
17,Indecent Representation of Women (P)Act,307,0,0,253,82.4,54,17.6
18,Copy Rights Act,3521,208,5.9,2529,71.8,784,22.3
19,Sati Prevention Act,0,0,0,0,0,0,0
20,SC/St (Prevention of Atrocities ) Act,28791,1158,4,23385,81.2,4248,14.8
21,Forest Act,12086,442,3.7,10858,89.8,786,6.5
22,Other SLL Crimes,2624511,149381,5.7,2415565,92,59565,2.3
23,Total cognizable Crimes Under Sll,3911437,163764,4.2,3531597,90.3,216076,5.5
