SI.No.,States/UT/City,No. of Cases In Which Offenders were - Known to The Victims,No. of Cases In Which Offenders were - Parents /Close Family Members,No. of Cases In Which Offenders were - Relatives,No. of Cases In Which Offenders were - Neighbours,No. of Cases In Which Offenders were - Others Known persons
1,Andhra Pradesh,895,11,110,235,539
2,Arunachal Pradesh,39,0,0,5,34
3,Assam,703,12,26,209,456
4,Bihar,1439,20,13,488,918
5,Goa,18,1,1,6,10
6,Gujarat,331,70,25,39,197
7,Haryana,372,41,11,108,212
8,Himachal Pradesh,109,1,4,25,79
9,jammu & Kashmir,116,1,10,23,82
10,Karnataka,301,0,0,0,301
11,Kerala,423,2,49,234,138
12,Madhya Pradesh,3197,76,118,847,2156
13,Maharashtra,1320,25,128,242,925
14,Manipur,3,0,0,0,3
15,Meghalaya,27,1,0,4,22
16,Mizoram,54,0,0,5,49
17,Nagaland,11,0,0,2,9
18,Orissa,291,2,22,70,197
19,Punjab,282,11,10,91,170
20,Rajasthan,723,19,23,208,473
21,Sikkim,NR,NR,NR,NR,NR
22,Tamil Nadu,382,10,27,42,303
23,Tripura,72,0,0,62,10
24,Uttar Pradesh,1324,6,96,575,647
25,West Bengal,196,87,5,33,71
Total States,Total States,12628,396,678,3553,8001
26,A & N Islands,6,1,0,0,5
27,Chandigarh,0,0,0,0,0
28,D & N Haveli,3,0,0,0,3
29,Daman & DIU,4,0,1,1,2
30,Delhi,351,5,20,213,113
31,Lakshadeep,0,0,0,0,0
32,Pondicherry,6,0,0,2,4
Total (UTs),Total (UTs),370,6,21,216,127
Total (All-India),Total (All-India),12998,402,699,3769,8128
33,Ahmedabad,14,0,0,4,10
34,Bangalore,29,1,0,18,10
35,Bhopal,42,3,9,11,19
36,Calcutta,24,0,0,0,24
37,Chennai,27,0,0,4,23
38,Coimbatore,4,0,0,2,2
39,Delhi,332,5,18,206,103
40,Hyderabad,48,0,5,7,36
41,Indore,29,0,0,19,10
42,Jaipur,34,0,0,7,27
43,Kanpur,27,0,3,12,12
44,Kochi,9,0,1,2,6
45,Lucknow,14,1,0,5,8
46,Ludhiana,38,2,1,14,21
47,Madurai,6,0,2,4,0
48,Mumbai,100,7,2,41,50
49,Nagpur,40,1,1,1,37
50,Patna,18,0,0,16,2
51,Pune,51,1,1,25,24
52,Surat,17,0,0,4,13
53,Vadodra,10,0,0,0,10
54,Varanasi,0,0,0,0,0
55,Vishakhapatnam,17,0,0,2,15
Total Cities,Total Cities,930,21,43,404,462
