Sl.No.,Crime Head,Male,Female,Total,Percentage to Total - Male,Percentage to Total - Female
1,Arms Act,64888,61,64949,99.9,0.1
2,Narcotic Drugs & Psychotropic Substances Act,21783,1083,22866,95.3,4.7
3,Gambling Act,255405,449,255854,99.8,0.2
4,Excise Act,108426,7160,115586,93.8,6.2
5,Prohibition Act,436470,110266,546736,79.8,20.2
6,Explosive & Explosive Substances Act,5249,16,5265,99.7,0.3
7,Immoral Traffic (P) Act,1574,13225,14799,10.6,89.4
8,Indian Railways Act,35570,1940,37510,94.8,5.2
9,Registration of Foregners Act,2468,324,2792,88.4,11.6
10,Protection Of Civil Rights Act,1438,74,1512,95.1,4.9
11,Indian Passport Act,763,142,905,84.3,15.7
12,Essential Commodities Act,7106,43,7149,99.4,0.6
13,Terrorist & Disruptive Actvites Act,0,0,0,0,0
14,Antiquity & Art Treasure Act,46,1,47,97.9,2.1
15,Dowry Prohibition Act,5079,1562,6641,76.5,23.5
16,Child Marriage Restraint Act,125,52,177,70.6,29.4
17,Indecent Representation of Women (P)Act,124,159,283,43.8,56.2
18,Copy Rights Act,2877,10,2887,99.7,0.3
19,Sati Prevention Act,0,0,0,0,0
20,SC/St (Prevention of Atrocities ) Act,23858,710,24568,97.1,2.9
21,Forest Act,11154,171,11325,98.5,1.5
22,Other SLL Crimes,2514036,51242,2565278,98,2
23,Total cognizable Crimes Under Sll,3498439,188690,3687129,94.9,5.1
