Sl No (1),Crime Head (2),Cases With-Drawn by. Govt. (3),Percentage of Cases to Total Cases for Trial - Compounded or With-Drawn (4),Percentage of Cases to Total Cases for Trial - In Which Trials Were Completed Convicted (5),Percentage of Cases to Total Cases for Trial - In Which Trials Were Completed Acquitted or Discharged (6),Percentage of Cases to Total Cases for Trial - In Which Trials Were Completed Total [(5) +(6)] (7),Percentage of Cases to Total Cases for Trial - Pending Trial (8),Conviction Rate [(5)/(7)*100] (9)
1,Arms Act,0,0.1,9.9,7.6,17.5,82.4,56.5
2,Narcotic Drugs & Psychotropic Substances Act,0,1.6,7.2,9.6,16.8,81.5,42.7
3,Gambling Act,0,0.4,29.4,6.3,35.7,63.9,82.3
4,Excise Act,1.3,0.3,16.9,8.5,25.4,74.3,66.4
5,Prohibition Act,0,2.6,12.2,8.3,20.5,77,59.5
6,Explosive & Explosive Substances Act,0,0.3,6.4,7.2,13.6,86.1,47.2
7,Immoral Traffic (P) Act,0,0.4,56.1,4.1,60.2,39.4,93.2
8,Indian Railways Act,0,0.5,60.6,2.1,62.8,36.7,96.6
9,Registration of Foregners Act,0,0.2,21.8,2.1,23.9,75.9,91.2
10,Protection Of Civil Rights Act,0.6,0.3,6.3,17.9,24.2,75.5,26.2
11,Indian Passport Act,0,0.3,19.9,10.1,29.9,69.8,66.4
12,Essential Commodities Act,0,0.2,2.8,9.3,12.1,87.7,23.2
13,Terrorist & Disruptive Actvites Act,0,0.2,1.4,5.9,7.3,92.5,18.7
14,Antiquity & Art Treasure Act,0,0,0,8.8,0,91.2,0
15,Dowry Prohibition Act,0,2.3,3.8,11.8,15.5,82.1,24.3
16,Child Marriage Restraint Act,0,0,6.6,13.5,20.1,79.9,32.7
17,Indecent Representation of Women (P)Act,0,0.5,32,6.6,38.6,60.8,82.9
18,Copy Rights Act,0,0.2,3.4,10.1,13.5,86.3,25.4
19,Sati Prevention Act,0,0,0,0,0,0,0
20,SC/St (Prevention of Atrocities ) Act,0,1.3,4.7,11.6,16.3,82.4,28.6
21,Forest Act,0,0.1,15.9,7,23,76.9,69.4
22,Other SLL Crimes,0,11.2,60.1,3.1,63.2,25.6,95.1
23,Total cognizable Crimes Under Sll,0.1,6.8,39.2,5.4,44.6,48.6,87.9
