Sl. No.,Year,7-12 years,percentage to Total,12-16 years,percentage to Total,16-18 years,percentage to Total,18-21 years,percentage to Total,overall Age groups
1,1989,4812,13.2,21028,57.8,10552,29,NA,NA,36392
2,1990,3681,11.9,23580,76.5,3555,11.5,NA,NA,30816
3,1991,5837,19.7,18887,63.8,4867,16.4,NA,NA,29591
4,1992,3435,16.1,14793,69.3,3130,14.7,NA,NA,21358
5,1993,3929,19.6,13437,67,2701,13.5,NA,NA,20067
6,1994,3694,21.5,11053,64.3,2456,14.3,NA,NA,17203
7,1995,3377,18,12013,63.9,3403,18.1,NA,NA,18793
8,1996,3490,18.3,11378,59.6,4230,22.1,NA,NA,19098
9,1997,2747,15.4,12171,68.4,2878,16.2,NA,NA,17796
10,1998,3336,17.6,11548,61,4039,21.3,NA,NA,18923
11,1999,4039,21.9,10311,55.9,4110,22.3,NA,NA,18460
12,Percentage Change in 1999 Over 1989,-16.1,NA,-51,NA,-61.1,NA,NA,NA,-49.3
13,Percentage Change in 1999 Over 1989,21.1,NA,-10.7,NA,1.8,NA,NA,NA,2.4
