SI.No. (1),States/UT/City (2),Category of Complants Recived Oral (3),Category of Complants Recived Written (4),Category of Complants Recived Distress Call over Phone 100 (5),Category of Complants Recived Complants Initiated Sue-Moto by Police (6),Category of Complants Recived Total Complants (Col.3 to 6) (7),No of Cases Registered Under IPC (8),No of Cases Registered Under SLL (9),No of Cases Registered Under Total (10)
1,Andhra Pradesh,108929,309384,8169,53060,479542,120364,339519,459883
2,Arunachal Pradesh,2,2139,17,151,2309,2266,43,2309
3,Assam,2473,35788,319,1416,39996,37292,2662,39954
4,Bihar,18070,108297,166,3220,129753,118648,10180,128828
5,Goa,1490,705,6,388,2589,2589,1118,3707
6,Gujarat,124817,57275,1954,66300,250346,124786,153061,277847
7,Haryana,228,75003,22,3609,78862,39713,19763,59476
8,Himachal Pradesh,1672,12011,206,869,14578,11077,3681,14758
9,jammu & Kashmir,2950,10775,946,6002,20673,17103,3570,20673
10,Karnataka,26621,86470,318,15100,128509,110559,19864,130423
11,Kerala,45012,99768,8242,18531,171553,94448,17825,112273
12,Madhya Pradesh,211515,129813,2664,98923,442915,205964,236951,442915
13,Maharashtra,145354,262955,369,109242,517920,177436,384930,562366
14,Manipur,0,2221,0,860,3081,2469,612,3081
15,Meghalaya,0,1718,0,0,1718,1718,118,1836
16,Mizoram,7,2469,0,706,3182,2220,961,3181
17,Nagaland,59,1318,6,176,1559,1249,351,1600
18,Orissa,1035,50972,0,620,52627,50393,2454,52847
19,Punjab,1283,137239,917,503,139942,20272,22813,43085
20,Rajasthan,24319,149752,22,19324,193417,168189,25228,193417
21,Sikkim,NR,NR,NR,NR,NR,776,26,802
22,Tamil Nadu,303126,191050,4547,267612,766335,145709,620736,766445
23,Tripura,329,2555,158,873,3129,3129,70,3199
24,Uttar Pradesh,10167,241485,129,330284,582065,173643,408422,582065
25,West Bengal,12491,111030,4422,847250,975193,66525,854985,921510
Total States,Total States,1041949,2082192,33599,1844233,5001973,1698537,3129943,4828480
26,A & N Islands,835,277,16,3,1131,603,2806,3409
27,Chandigarh,0,7969,3759,45,11773,2735,506,3241
28,D & N Haveli,0,408,0,19,427,413,16,429
29,Daman & DIU,201,97,0,9,307,247,5,252
30,Delhi,11111,151903,213076,7625,383715,58701,11373,70074
31,Lakshadeep,0,30,0,4,34,31,3,34
32,Pondicherry,1852,1510,23,2426,5811,3362,2449,5811
Total (UTs),Total (UTs),13999,162194,216874,10131,403198,66092,17158,83250
Total (All-India),Total (All-India),1055948,2244386,250473,1854364,5405171,1764629,3147101,4911730
