SI.No.,States/UT/City,Unidentified Bodies Recoverd and Inquest Conducted
1,Andhra Pradesh,3243
2,Arunachal Pradesh,2
3,Assam,157
4,Bihar,1710
5,Goa,145
6,Gujarat,863
7,Haryana,601
8,Himachal Pradesh,61
9,jammu & Kashmir,113
10,Karnataka,1626
11,Kerala,213
12,Madhya Pradesh,676
13,Maharashtra,5717
14,Manipur,9
15,Meghalaya,0
16,Mizoram,0
17,Nagaland,9
18,Orissa,0
19,Punjab,222
20,Rajasthan,418
21,Sikkim,NR
22,Tamil Nadu,375
23,Tripura,19
24,Uttar Pradesh,3246
25,West Bengal,3768
Total States,Total States,23193
26,A & N Islands,0
27,Chandigarh,9
28,D & N Haveli,0
29,Daman & DIU,16
30,Delhi,1642
31,Lakshadeep,0
32,Pondicherry,58
Total (UTs),Total (UTs),1725
Total (All-India),Total (All-India),24918
33,Ahmedabad,57
34,Bangalore,247
35,Bhopal,48
36,Calcutta,501
37,Chennai,97
38,Coimbatore,8
39,Delhi,1642
40,Hyderabad,1687
41,Indore,25
42,Jaipur,120
43,Kanpur,138
44,Kochi,19
45,Lucknow,104
46,Ludhiana,43
47,Madurai,0
48,Mumbai,1206
49,Nagpur,145
50,Patna,21
51,Pune,365
52,Surat,0
53,Vadodra,75
54,Varanasi,67
55,Vishakhapatnam,7
Total Cities,Total Cities,6622
