SI.No (1),Crime Head (2),Cases wih Drawn by Govt (3),Percent of Cases to Total Cases For Trial Compounded or Withdrawn (4),Percent of Cases to Total Cases For Trial in Which Trials Were CompletedConvicted (5),Percent of Cases to Total Cases For Trial in Which Trials Were Completed Acqutted or Discharged (6),Percent of Cases to Total Cases For Trial in Which Trials Were Completed Total [ (5)+(6)] (7),Percent of Cases to Total Cases For Trial Pending Trial (8),Conviction Rate [(5)/(8)*100] (9)
1,Murder,0,0.2,5,9,14,85.8,36
2,Attempt to Commit Murder,0,0.7,5.1,10,15,84.3,33.7
3,C.H. Not Amounting To Murder,0,0.6,5.5,11.1,16.6,82.8,32.9
4,Rape,0,0.3,4.7,12.5,17.2,82.5,27.4
5,Kidnapping & Abduction,0,0.8,4.6,10.9,15.5,83.7,29.5
5,I)Of Woman & Girls,0,0.9,4.4,10.6,15.1,84,29.3
5,II)Of Others,0,0.6,4.9,11.6,16.6,82.8,29.8
6,Dacoity,0,0.1,2.7,8.4,11.1,88.8,24.4
7,Preparation & Assembly for Dacoity,0,0.1,4.5,12.8,17.3,82.6,25.9
8,Robbery,0,0.3,4.1,8.5,12.6,87.1,32.4
9,Burglary,0,0.7,5.1,9,14.1,85.3,36.3
10,Theft,0,1.1,5.5,8.6,14.1,84.8,38.9
10,I) Auto Theft,0,0.4,8.2,7.9,16.2,83.4,50.9
10,II) Other Theft,0,1.2,5.1,8.7,13.8,85.4,36.7
11,Riots,1,3,3.5,9.6,13.1,83.9,26.4
12,Criminal Breach of Trust,0,0.7,3.3,7.5,10.8,88.4,30.6
13,Cheating,0,1.1,2.9,6.8,9.7,89.1,30.1
14,Counterfeiting,0,0.2,5.1,9.5,14.6,85.2,34.9
15,Arson,0,1.8,4.2,12.2,16.4,81.7,25.5
16,Hurt,0,6.2,4.4,10.1,14.5,79.2,30.5
17,Dowry Deaths,0,0.9,5.5,10.8,16.2,82.9,33.6
18,Molestation,0,5.3,4.7,10,14.7,80.1,32.1
19,Sexual Harassment,0,2.4,16.7,11.4,28.1,69.5,59.4
20,Cruelty by Husband and Relatives,0,2.6,2.4,10.2,12.6,84.8,19
21,Importation of Girls,0,0,0,0,0,100,0
22,Other IPC Crimes,0,3.6,8.5,9.6,18.1,78.3,46.8
23,Total Cognizable Crimes Under IPC,0,3.1,6.3,9.5,15.8,81.8,39.6
