SI.No.,States/UT,Incidence,Percentage Contribution to All India Total,Estimated Mid Year Population (In Lakhs),Rate of Crimes,Rank*,Rank**
1,Andhra Pradesh,271,5.47,750.1,0.36,20,6
2,Arunachal Pradesh,15,0.3,11.7,1.29,6,22
3,Assam,162,3.27,259.8,0.62,15,11
4,Bihar,205,4.14,987.3,0.21,25,9
5,Goa,19,0.38,15.6,1.22,7,21
6,Gujarat,317,6.39,477.9,0.66,13,5
7,Haryana,211,4.26,196.4,1.07,9,8
8,Himachal Pradesh,52,1.05,66,0.79,11,18
9,jammu & Kashmir,22,0.44,97.9,0.22,23,20
10,Karnataka,159,3.21,516.5,0.31,21,12
11,Kerala,140,2.82,320.8,0.44,17,15
12,Madhya Pradesh,952,19.21,788.1,1.21,8,1
13,Maharashtra,750,15.13,904.5,0.83,10,2
14,Manipur,4,0.08,24.7,0.16,28,28
15,Meghalaya,4,1.07,23.8,0.17,27,28
16,Mizoram,53,0.04,9.3,5.69,1,17
17,Nagaland,2,3.01,16.5,0.12,31,30
18,Orissa,149,2.99,356.4,0.42,18,13
19,Punjab,148,4.32,233.7,0.63,14,14
20,Rajasthan,214,0.08,529.4,0.4,19,7
21,Sikkim,4,1.94,5.5,0.73,12,28
22,Tamil Nadu,96,0.12,614.3,0.16,30,16
23,Tripura,6,7.44,37,0.16,29,23
24,Uttar Pradesh,369,3,1676.6,0.22,24,4
25,West Bengal,188,3.79,783.2,0.24,22,10
Total States,Total States,4512,91.02,9703,0.47,NA,NA
26,A & N Islands,5,0.1,3.8,1.32,5,25
27,Chandigarh,29,0.59,8.7,3.34,3,19
28,D & N Haveli,1,0.02,1.9,0.54,16,31
29,Daman & DIU,5,0.1,1.4,3.65,2,25
30,Delhi,403,8.13,136,2.96,4,3
31,Lakshadeep,0,0,0.7,0,32,32
32,Pondicherry,2,0.04,10.9,0.18,26,30
Total (UTs),Total (UTs),445,8.98,163.4,2.73,NA,NA
Total (All-India),Total (All-India),4957,100,9866.4,0.5,NA,NA
