SI.No.,States/UT/City,Number of Death Reported,Number of Autopsy Conducted,Number of Magisterial enquiry ordered Conducted,Number of Judicial Enquiry ordered Counducted,Number of Cases Regd. In Connection with Deaths,Number of Police Men Charge sheeted,Number of Policemen Cinvicted
1,Andhra Pradesh,0,0,0,0,0,0,0
2,Arunachal Pradesh,0,0,0,0,0,0,0
3,Assam,4,0,1,0,2,0,0
4,Bihar,0,0,0,0,0,0,0
5,Goa,0,0,0,0,0,0,0
6,Gujarat,0,0,0,0,0,0,0
7,Haryana,0,0,0,0,0,0,0
8,Himachal Pradesh,1,1,1,0,1,3,0
9,Jammu & Kashmir,1,0,1,1,1,0,0
10,Karnataka,0,0,0,0,0,0,0
11,Kerala,1,0,0,0,0,0,0
12,Madhya Pradesh,4,0,2,1,1,16,0
13,Maharashtra,6,5,4,1,3,0,0
14,Manipur,0,0,0,0,0,0,0
15,Meghalaya,0,0,0,0,0,0,0
16,Mizoram,0,0,0,0,0,0,0
17,Nagaland,0,0,0,0,0,0,0
18,Orissa,0,0,0,0,0,0,0
19,Punjab,0,0,0,0,0,0,0
20,Rajasthan,2,0,2,0,1,1,0
21,Sikkim,NR,NR,NR,NR,NR,NR,NR
22,Tamil Nadu,0,0,0,0,0,0,0
23,Tripura,0,0,0,0,0,0,0
24,Uttar Pradesh,0,0,0,0,0,0,0
25,West Bengal,3,3,3,1,1,0,0
Total States,Total States,22,9,14,4,10,20,0
26,A & N Islands,0,0,0,0,0,0,0
27,Chandigarh,0,0,0,0,0,0,0
28,D & N Haveli,0,0,0,0,0,0,0
29,Daman & DIU,0,0,0,0,0,0,0
30,Delhi,0,0,0,0,0,0,0
31,Lakshadweep,0,0,0,0,0,0,0
32,Pondicherry,0,0,0,0,0,0,0
Total (UTs),Total (UTs),0,0,0,0,0,0,0
Total (All-India),Total (All-India),22,9,14,4,10,20,0
