SL. No.,Crime Heads,Percentage of New Offenders Arrested to Total Arrested,Percentage of Offenders who have been Arrested in the Past to Total Arrested - Once,Percentage of Offenders who have been Arrested in the Past to Total Arrested - Twice,Percentage of Offenders who have been Arrested in the Past to Total Arrested - Three Times or More
1,Murder,91.7,7.2,0.9,0.2
2,C.H. Not Amounting to Murder,95.6,3.8,0.3,0.3
3,Rape,92.5,6.3,1.1,0
4,Kidnapping & Abduction,94.7,4.3,0.7,0.3
5,Dacoity,87,9,2.7,1.3
6,Robbery,88.4,7.8,3,0.8
7,Burglary,87.5,9,2.5,1
8,Theft,87.7,8.3,2.6,1.4
9,Riots,95.3,4.1,0.5,0.1
10,Criminal Breach of Trust,94.8,4.6,0.4,0.1
11,Cheating,94.4,4.9,0.5,0.2
12,Counterfeiting,98.6,1.3,0.1,0
13,Total Cognizable Crimes Under IPC,94.1,4.7,0.9,0.3
