SL. No.,Crime Heads,Total number of persons under trial during the year including persons carried over from previous year,Number of persons against whom cases were compounded or withdrawn,Persons in whose cases trials were completed,Persons in custody or on bail at the end of the year,Number of persons convicted during the year,Percentage of persons in custody pendind trial to number of persons under trial,Percentage of persons convicted to total persons in whose cases trials were completed during the year
1,Murder,216935,852,49819,166264,20126,76.6,40.4
2,Culpable Homicide Not Amounting to Murder,26860,301,111,20448,2708,76.1,44.3
3,Rape,30890,205,7421,23264,2677,75.3,36.1
4,Kidnapping & Abduction,69904,1018,13900,54986,5090,78.7,36.6
5,Dacoity,158509,546,28810,129153,9563,81.5,33.2
6,Robbery,109827,601,19297,89929,6851,81.9,35.5
7,Burglary,305385,5925,62151,237309,27229,77.7,43.8
8,Theft,665896,17740,139153,509003,66107,76.4,47.5
9,Riots,2072293,100541,345974,1625778,105501,78.5,30.5
10,Criminal Breach of Trust,73179,1103,9900,62176,4066,85,41.1
11,Cheating,72807,1242,11028,60537,4413,83.1,40
12,Counterfeiting,2094,40,481,1573,136,75.1,28.3
13,Total Cognizable Crimes Under IPC,7202505,303843,1379310,5519352,591282,76.6,42.9
